outcome,feature,mean_standardized_coef,sd_across_folds,sign_stability
benefit_retrain,phys_source_wet_intensity_lag1_autocorr,-0.0014052151588057002,0.0024685671425487095,0.9090909090909091
benefit_retrain,phys_target_wet_intensity_lag1_autocorr,0.001622293595016098,0.004742382193565547,0.2727272727272727
benefit_retrain,phys_delta_wet_intensity_lag1_autocorr,0.0020959065872763454,0.0034071667042291113,0.7272727272727273
benefit_retrain,phys_abs_delta_wet_intensity_lag1_autocorr,0.004751263767931512,0.005648036713307928,1.0
benefit_retrain,phys_source_dry_spell_mean_days,0.0005452925975828408,0.0020999982518192743,0.2727272727272727
benefit_retrain,phys_target_dry_spell_mean_days,3.184994425984747e-05,0.006566561640972123,0.8181818181818182
benefit_retrain,phys_delta_dry_spell_mean_days,-0.0003222946194265206,0.004358679723808926,0.18181818181818182
benefit_retrain,phys_abs_delta_dry_spell_mean_days,0.0020164990179100833,0.0037872856528245297,0.6363636363636364
benefit_retrain,phys_source_dry_spell_p95_days,0.00032092818759355484,0.001967830673119643,0.18181818181818182
benefit_retrain,phys_target_dry_spell_p95_days,0.0008981842990175696,0.008244186252621766,0.7272727272727273
benefit_retrain,phys_delta_dry_spell_p95_days,0.0004313152692463917,0.004594048161674095,0.9090909090909091
benefit_retrain,phys_abs_delta_dry_spell_p95_days,0.00017836778825804274,0.0026671395845813996,0.45454545454545453
benefit_retrain,phys_source_wet_day_p95,0.0026453660494681138,0.005427940768297652,0.9090909090909091
benefit_retrain,phys_target_wet_day_p95,-0.0013824239760093927,0.002546679925724301,0.6363636363636364
benefit_retrain,phys_delta_wet_day_p95,-0.002711258114636711,0.005104106282486142,0.9090909090909091
benefit_retrain,phys_abs_delta_wet_day_p95,0.005568197622473886,0.009492652665071977,1.0
benefit_retrain,phys_source_wet_day_p99,0.0025793733069215748,0.005174453651243642,0.9090909090909091
benefit_retrain,phys_target_wet_day_p99,-0.001249030429196083,0.0021331797854043377,0.9090909090909091
benefit_retrain,phys_delta_wet_day_p99,-0.002560687508021255,0.004684195592047581,0.9090909090909091
benefit_retrain,phys_abs_delta_wet_day_p99,0.003205934499685975,0.005148261887379707,0.9090909090909091
benefit_retrain,phys_source_extreme_tail_ratio_p99_p95,0.0010847693940668755,0.002288684599586641,0.2727272727272727
benefit_retrain,phys_target_extreme_tail_ratio_p99_p95,-0.0015294475809006134,0.0024923000094957755,1.0
benefit_retrain,phys_delta_extreme_tail_ratio_p99_p95,-0.001739490029229207,0.0027738623851061126,1.0
benefit_retrain,phys_abs_delta_extreme_tail_ratio_p99_p95,0.00020142708895838963,0.0011333266524102966,0.18181818181818182
benefit_retrain,model_graphwavenet_transfer,0.0035348773860515836,0.004384201592129402,1.0
benefit_retrain,model_patchtst_small,-0.0019202250504342844,0.002254782008521636,1.0
benefit_retrain,model_spatial_knn_ridge,-0.001614652335616103,0.0023673653606090615,1.0
