model,source_region,target_region,action,adaptation,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,source_training_seconds_sunk
patchtst_small,SAU,WNA,retrain,retrain,2.0634307861328125,975,60000,7.678654000003007,90000,7.689114699998754
patchtst_small,MED,WNA,deploy,deploy,2.127173662185669,975,60000,0.0,0,8.005214000004344
patchtst_small,MED,WNA,adapt,head_finetune,2.1187829971313477,975,60000,2.549710799998138,30000,8.005214000004344
patchtst_small,MED,WNA,retrain,retrain,2.0634307861328125,975,60000,7.678654000003007,90000,8.005214000004344
patchtst_small,EAU,WNA,deploy,deploy,2.100160837173462,975,60000,0.0,0,7.870186400003149
patchtst_small,EAU,WNA,adapt,head_finetune,2.0743348598480225,975,60000,2.4908553999994183,30000,7.870186400003149
patchtst_small,EAU,WNA,retrain,retrain,2.0634307861328125,975,60000,7.678654000003007,90000,7.870186400003149
patchtst_small,NWN,WNA,deploy,deploy,2.061070442199707,975,60000,0.0,0,7.93835319999198
patchtst_small,NWN,WNA,adapt,head_finetune,2.057864189147949,975,60000,2.4696546999912243,30000,7.93835319999198
patchtst_small,NWN,WNA,retrain,retrain,2.0634307861328125,975,60000,7.678654000003007,90000,7.93835319999198
patchtst_small,NCA,WNA,deploy,deploy,2.1612308025360107,975,60000,0.0,0,7.852840200008359
patchtst_small,NCA,WNA,adapt,head_finetune,2.15612530708313,975,60000,2.600447599994368,30000,7.852840200008359
patchtst_small,NCA,WNA,retrain,retrain,2.0634307861328125,975,60000,7.678654000003007,90000,7.852840200008359
patchtst_small,EAS,WNA,deploy,deploy,2.085273027420044,975,60000,0.0,0,7.655908800006728
patchtst_small,EAS,WNA,adapt,head_finetune,2.074925184249878,975,60000,2.5712895000033313,30000,7.655908800006728
patchtst_small,EAS,WNA,retrain,retrain,2.0634307861328125,975,60000,7.678654000003007,90000,7.655908800006728
patchtst_small,NEU,ENA,deploy,deploy,3.1300504207611084,522,60000,0.0,0,8.433484199995291
patchtst_small,NEU,ENA,adapt,head_finetune,3.0512354373931885,522,60000,2.4674938000098336,30000,8.433484199995291
patchtst_small,NEU,ENA,retrain,retrain,3.043553590774536,522,60000,7.806862600002205,90000,8.433484199995291
patchtst_small,WCE,ENA,deploy,deploy,3.089041233062744,522,60000,0.0,0,7.73345369999879
patchtst_small,WCE,ENA,adapt,head_finetune,3.048233985900879,522,60000,2.551280500003486,30000,7.73345369999879
patchtst_small,WCE,ENA,retrain,retrain,3.043553590774536,522,60000,7.806862600002205,90000,7.73345369999879
patchtst_small,WNA,ENA,deploy,deploy,3.1174468994140625,522,60000,0.0,0,7.678654000003007
patchtst_small,WNA,ENA,adapt,head_finetune,3.0485072135925293,522,60000,2.523719600008917,30000,7.678654000003007
patchtst_small,WNA,ENA,retrain,retrain,3.043553590774536,522,60000,7.806862600002205,90000,7.678654000003007
patchtst_small,CNA,ENA,deploy,deploy,3.047151803970337,522,60000,0.0,0,7.69364769999811
patchtst_small,CNA,ENA,adapt,head_finetune,3.0479040145874023,522,60000,2.5728455999924336,30000,7.69364769999811
patchtst_small,CNA,ENA,retrain,retrain,3.043553590774536,522,60000,7.806862600002205,90000,7.69364769999811
patchtst_small,SAU,ENA,deploy,deploy,3.0746967792510986,522,60000,0.0,0,7.689114699998754
patchtst_small,SAU,ENA,adapt,head_finetune,3.0454697608947754,522,60000,2.49191029999929,30000,7.689114699998754
patchtst_small,SAU,ENA,retrain,retrain,3.043553590774536,522,60000,7.806862600002205,90000,7.689114699998754
patchtst_small,MED,ENA,deploy,deploy,3.062744617462158,522,60000,0.0,0,8.005214000004344
patchtst_small,MED,ENA,adapt,head_finetune,3.0445735454559326,522,60000,2.565400599996792,30000,8.005214000004344
patchtst_small,MED,ENA,retrain,retrain,3.043553590774536,522,60000,7.806862600002205,90000,8.005214000004344
patchtst_small,EAU,ENA,deploy,deploy,3.060542106628418,522,60000,0.0,0,7.870186400003149
patchtst_small,EAU,ENA,adapt,head_finetune,3.0471739768981934,522,60000,2.540458099989337,30000,7.870186400003149
patchtst_small,EAU,ENA,retrain,retrain,3.043553590774536,522,60000,7.806862600002205,90000,7.870186400003149
patchtst_small,NWN,ENA,deploy,deploy,3.113065481185913,522,60000,0.0,0,7.93835319999198
patchtst_small,NWN,ENA,adapt,head_finetune,3.0499107837677,522,60000,2.5630250000103842,30000,7.93835319999198
patchtst_small,NWN,ENA,retrain,retrain,3.043553590774536,522,60000,7.806862600002205,90000,7.93835319999198
patchtst_small,NCA,ENA,deploy,deploy,3.047297954559326,522,60000,0.0,0,7.852840200008359
patchtst_small,NCA,ENA,adapt,head_finetune,3.0448803901672363,522,60000,2.4886952999950154,30000,7.852840200008359
patchtst_small,NCA,ENA,retrain,retrain,3.043553590774536,522,60000,7.806862600002205,90000,7.852840200008359
patchtst_small,EAS,ENA,deploy,deploy,3.100640296936035,522,60000,0.0,0,7.655908800006728
patchtst_small,EAS,ENA,adapt,head_finetune,3.0463316440582275,522,60000,2.5642483999981778,30000,7.655908800006728
patchtst_small,EAS,ENA,retrain,retrain,3.043553590774536,522,60000,7.806862600002205,90000,7.655908800006728
patchtst_small,NEU,CNA,deploy,deploy,2.3194353580474854,438,60000,0.0,0,8.433484199995291
patchtst_small,NEU,CNA,adapt,head_finetune,2.2366652488708496,438,60000,2.5655991999956314,30000,8.433484199995291
patchtst_small,NEU,CNA,retrain,retrain,2.2292087078094482,438,60000,7.69364769999811,90000,8.433484199995291
patchtst_small,WCE,CNA,deploy,deploy,2.2843425273895264,438,60000,0.0,0,7.73345369999879
patchtst_small,WCE,CNA,adapt,head_finetune,2.2323200702667236,438,60000,2.475912599998992,30000,7.73345369999879
patchtst_small,WCE,CNA,retrain,retrain,2.2292087078094482,438,60000,7.69364769999811,90000,7.73345369999879
patchtst_small,WNA,CNA,deploy,deploy,2.2910757064819336,438,60000,0.0,0,7.678654000003007
patchtst_small,WNA,CNA,adapt,head_finetune,2.2453956604003906,438,60000,2.5884956999943824,30000,7.678654000003007
patchtst_small,WNA,CNA,retrain,retrain,2.2292087078094482,438,60000,7.69364769999811,90000,7.678654000003007
patchtst_small,ENA,CNA,deploy,deploy,2.2315850257873535,438,60000,0.0,0,7.806862600002205
patchtst_small,ENA,CNA,adapt,head_finetune,2.2288858890533447,438,60000,2.5281735000025947,30000,7.806862600002205
patchtst_small,ENA,CNA,retrain,retrain,2.2292087078094482,438,60000,7.69364769999811,90000,7.806862600002205
patchtst_small,SAU,CNA,deploy,deploy,2.2607572078704834,438,60000,0.0,0,7.689114699998754
patchtst_small,SAU,CNA,adapt,head_finetune,2.2322323322296143,438,60000,2.6013851999887265,30000,7.689114699998754
patchtst_small,SAU,CNA,retrain,retrain,2.2292087078094482,438,60000,7.69364769999811,90000,7.689114699998754
patchtst_small,MED,CNA,deploy,deploy,2.2608656883239746,438,60000,0.0,0,8.005214000004344
patchtst_small,MED,CNA,adapt,head_finetune,2.2320661544799805,438,60000,2.5122632999991765,30000,8.005214000004344
patchtst_small,MED,CNA,retrain,retrain,2.2292087078094482,438,60000,7.69364769999811,90000,8.005214000004344
patchtst_small,EAU,CNA,deploy,deploy,2.2497828006744385,438,60000,0.0,0,7.870186400003149
patchtst_small,EAU,CNA,adapt,head_finetune,2.2342846393585205,438,60000,2.504407499989611,30000,7.870186400003149
patchtst_small,EAU,CNA,retrain,retrain,2.2292087078094482,438,60000,7.69364769999811,90000,7.870186400003149
patchtst_small,NWN,CNA,deploy,deploy,2.292079448699951,438,60000,0.0,0,7.93835319999198
patchtst_small,NWN,CNA,adapt,head_finetune,2.243622303009033,438,60000,2.553597099991748,30000,7.93835319999198
patchtst_small,NWN,CNA,retrain,retrain,2.2292087078094482,438,60000,7.69364769999811,90000,7.93835319999198
patchtst_small,NCA,CNA,deploy,deploy,2.227922201156616,438,60000,0.0,0,7.852840200008359
patchtst_small,NCA,CNA,adapt,head_finetune,2.228024482727051,438,60000,2.663889100003871,30000,7.852840200008359
patchtst_small,NCA,CNA,retrain,retrain,2.2292087078094482,438,60000,7.69364769999811,90000,7.852840200008359
patchtst_small,EAS,CNA,deploy,deploy,2.289724588394165,438,60000,0.0,0,7.655908800006728
patchtst_small,EAS,CNA,adapt,head_finetune,2.237628221511841,438,60000,2.4809378999925684,30000,7.655908800006728
patchtst_small,EAS,CNA,retrain,retrain,2.2292087078094482,438,60000,7.69364769999811,90000,7.655908800006728
patchtst_small,NEU,SAU,deploy,deploy,1.7087054252624512,351,60000,0.0,0,8.433484199995291
patchtst_small,NEU,SAU,adapt,head_finetune,1.6823813915252686,351,60000,2.546758900003624,30000,8.433484199995291
patchtst_small,NEU,SAU,retrain,retrain,1.6734929084777832,351,60000,7.689114699998754,90000,8.433484199995291
patchtst_small,WCE,SAU,deploy,deploy,1.6926519870758057,351,60000,0.0,0,7.73345369999879
patchtst_small,WCE,SAU,adapt,head_finetune,1.6877573728561401,351,60000,2.5958957000111695,30000,7.73345369999879
patchtst_small,WCE,SAU,retrain,retrain,1.6734929084777832,351,60000,7.689114699998754,90000,7.73345369999879
patchtst_small,WNA,SAU,deploy,deploy,1.6815717220306396,351,60000,0.0,0,7.678654000003007
patchtst_small,WNA,SAU,adapt,head_finetune,1.6773053407669067,351,60000,2.4964583000109997,30000,7.678654000003007
patchtst_small,WNA,SAU,retrain,retrain,1.6734929084777832,351,60000,7.689114699998754,90000,7.678654000003007
patchtst_small,ENA,SAU,deploy,deploy,1.6974334716796875,351,60000,0.0,0,7.806862600002205
patchtst_small,ENA,SAU,adapt,head_finetune,1.6926194429397583,351,60000,2.490577000004123,30000,7.806862600002205
patchtst_small,ENA,SAU,retrain,retrain,1.6734929084777832,351,60000,7.689114699998754,90000,7.806862600002205
patchtst_small,CNA,SAU,deploy,deploy,1.709210753440857,351,60000,0.0,0,7.69364769999811
patchtst_small,CNA,SAU,adapt,head_finetune,1.6969668865203857,351,60000,2.5972758999996586,30000,7.69364769999811
patchtst_small,CNA,SAU,retrain,retrain,1.6734929084777832,351,60000,7.689114699998754,90000,7.69364769999811
patchtst_small,MED,SAU,deploy,deploy,1.6896376609802246,351,60000,0.0,0,8.005214000004344
