target_region,policy,budget_curve_auc,oracle_auc,excess_auc_vs_oracle
WCE,mmd,2.297204902668922,2.2953762527238943,0.0018286499450277383
WCE,oracle,2.2953762527238943,2.2953762527238943,0.0
WCE,random_expected,2.2981114169538026,2.2953762527238943,0.0027351642299082712
WCE,wasserstein,2.2971211120888753,2.2953762527238943,0.0017448593649809219
WNA,action_value,2.0978437958613947,2.095548272182536,0.0022955236788586575
WNA,distance,2.106604189135465,2.095548272182536,0.011055916952928957
WNA,kl_source_target,2.107010406507616,2.095548272182536,0.011462134325079809
WNA,mean_shift,2.1025453163528036,2.095548272182536,0.006997044170267586
WNA,mmd,2.1006353194507184,2.095548272182536,0.005087047268182321
WNA,oracle,2.095548272182536,2.095548272182536,0.0
WNA,random_expected,2.1030924320363598,2.095548272182536,0.007544159853823729
WNA,wasserstein,2.1003535903299815,2.095548272182536,0.004805318147445448
