model,source_region,target_region,action,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,adapt_intercept_log1p,adapt_slope_log1p,source_training_seconds_sunk
spatial_knn_ridge,ENA,NEN,deploy,1.5585589689366959,51,52262,0.0,0,,,0.3589845999958925
spatial_knn_ridge,ENA,NEN,adapt,1.454315296575135,51,52262,0.0017695999995339662,53448,-0.0919780433177948,0.9414676427841187,0.3589845999958925
spatial_knn_ridge,ENA,NEN,retrain,1.438316143026539,51,52262,0.16840770000999328,120000,,,0.3589845999958925
spatial_knn_ridge,ENA,ESB,deploy,1.4776685528266125,39,34528,0.0,0,,,0.3589845999958925
spatial_knn_ridge,ENA,ESB,adapt,1.3811209843708918,39,34528,0.0013903999933972955,42659,-0.11822506785392761,0.9586147665977478,0.3589845999958925
spatial_knn_ridge,ENA,ESB,retrain,1.3608544224347823,39,34528,0.12461139999504667,113888,,,0.3589845999958925
spatial_knn_ridge,ENA,RFE,deploy,1.875502963323851,37,32342,0.0,0,,,0.3589845999958925
spatial_knn_ridge,ENA,RFE,adapt,1.7995377859553776,37,32342,0.0016230000037467107,40382,-0.21107271313667297,1.197377324104309,0.3589845999958925
spatial_knn_ridge,ENA,RFE,retrain,1.7558173118410885,37,32342,0.11521530000027269,107411,,,0.3589845999958925
spatial_knn_ridge,CNA,CAU,deploy,0.9506616220957991,69,71830,0.0,0,,,0.3233532999875024
spatial_knn_ridge,CNA,CAU,adapt,0.8041175739920657,69,71830,0.001486799999838695,60000,-0.11181452870368958,0.885776937007904,0.3233532999875024
spatial_knn_ridge,CNA,CAU,retrain,0.8067429614239845,69,71830,0.194487200002186,120000,,,0.3233532999875024
spatial_knn_ridge,CNA,NAU,deploy,3.230668125481441,58,59757,0.0,0,,,0.3233532999875024
spatial_knn_ridge,CNA,NAU,adapt,3.1496112757715684,58,59757,0.0016527000116184354,60000,-0.2746090590953827,1.676093578338623,0.3233532999875024
spatial_knn_ridge,CNA,NAU,retrain,3.1210075431856614,58,59757,0.1680616999947233,120000,,,0.3233532999875024
spatial_knn_ridge,CNA,NEN,deploy,1.4369816651531295,51,52262,0.0,0,,,0.3233532999875024
spatial_knn_ridge,CNA,NEN,adapt,1.4514505243768878,51,52262,0.0015356999938376248,53448,0.07291939854621887,0.8597851991653442,0.3233532999875024
spatial_knn_ridge,CNA,NEN,retrain,1.438316143026539,51,52262,0.16840770000999328,120000,,,0.3233532999875024
