target_region,budget_retrains,budget_fraction,policy,mean_mae
CNA,18,0.6,oracle,2.239184535706424
CNA,18,0.6,random_expected,2.2595973810703245
CNA,19,0.6333333333333333,action_value,2.248244263247631
CNA,19,0.6333333333333333,mmd,2.2600055345298675
CNA,19,0.6333333333333333,wasserstein,2.261364661885179
CNA,19,0.6333333333333333,distance,2.2540596236104835
CNA,19,0.6333333333333333,mean_shift,2.2570957265760256
CNA,19,0.6333333333333333,kl_source_target,2.2492588066710004
CNA,19,0.6333333333333333,oracle,2.23861678629161
CNA,19,0.6333333333333333,random_expected,2.2576696266032066
CNA,20,0.6666666666666666,action_value,2.248143475766959
CNA,20,0.6666666666666666,mmd,2.255928545038087
CNA,20,0.6666666666666666,wasserstein,2.2612638744045066
CNA,20,0.6666666666666666,distance,2.252753017808749
CNA,20,0.6666666666666666,mean_shift,2.2563260751001004
CNA,20,0.6666666666666666,kl_source_target,2.249089608952698
CNA,20,0.6666666666666666,oracle,2.2380772212052453
CNA,20,0.6666666666666666,random_expected,2.2557418721360887
CNA,21,0.7,action_value,2.2473022664972278
CNA,21,0.7,mmd,2.2559680192075002
CNA,21,0.7,wasserstein,2.2557508421270813
CNA,21,0.7,distance,2.248048447038485
CNA,21,0.7,mean_shift,2.256156877381798
CNA,21,0.7,kl_source_target,2.248319957476773
CNA,21,0.7,oracle,2.237596768031926
CNA,21,0.7,random_expected,2.2538141176689708
CNA,22,0.7333333333333333,action_value,2.241684250572138
CNA,22,0.7333333333333333,mmd,2.254873032139861
CNA,22,0.7333333333333333,wasserstein,2.2544442363253467
CNA,22,0.7333333333333333,distance,2.2475088819521205
CNA,22,0.7333333333333333,mean_shift,2.2550361356869497
CNA,22,0.7333333333333333,kl_source_target,2.247412905582373
CNA,22,0.7333333333333333,oracle,2.2373161175751792
CNA,22,0.7333333333333333,random_expected,2.251886363201853
CNA,23,0.7666666666666667,action_value,2.2403776447704034
CNA,23,0.7666666666666667,mmd,2.2547722446591885
CNA,23,0.7666666666666667,wasserstein,2.253963783152027
CNA,23,0.7666666666666667,distance,2.2466676726823893
CNA,23,0.7666666666666667,mean_shift,2.2547875843182363
CNA,23,0.7666666666666667,kl_source_target,2.2473176573600218
CNA,23,0.7666666666666667,oracle,2.237067566206466
