source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean,run_tag,seed_index,source_in_region_mae,source_in_region_brier,abs_degradation
ENA,WNA,regional_doy_climatology,975,17,3.824078718748812,0.7424944186050736,0.696154357015545,0.1307311708465808,all_viable_min100_full_s1,1,4.706785386792467,0.7242084743861416,0.696154357015545
MED,CNA,regional_doy_climatology,438,14,3.3590928969806924,0.6878704990428848,-0.1360960092955751,-0.0316730689874737,all_viable_min100_full_s1,1,2.805806032868988,0.6315867487159866,0.1360960092955751
MED,EAS,regional_doy_climatology,110,16,7.208182863829736,0.6901996234569417,-1.6566743847015732,0.0992806522285179,all_viable_min100_full_s1,1,2.805806032868988,0.6315867487159866,1.6566743847015732
MED,EAU,regional_doy_climatology,241,6,3.803525105333632,0.62938908344192,-0.3948731134451289,-0.0355172421314153,all_viable_min100_full_s1,1,2.805806032868988,0.6315867487159866,0.3948731134451289
MED,ENA,regional_doy_climatology,522,21,4.022629985751541,0.63436994415162,-0.6841554010409272,-0.0898385302345216,all_viable_min100_full_s1,1,2.805806032868988,0.6315867487159866,0.6841554010409272
MED,NCA,regional_doy_climatology,144,7,2.5011701120217804,0.7301830024902872,0.6442528272915464,0.2515094466298641,all_viable_min100_full_s1,1,2.805806032868988,0.6315867487159866,0.6442528272915464
MED,NEU,regional_doy_climatology,1000,28,2.9163710500264064,0.5857637517723242,-0.2322327750973521,-0.0606639359841675,all_viable_min100_full_s1,1,2.805806032868988,0.6315867487159866,0.2322327750973521
MED,NWN,regional_doy_climatology,183,36,3.3638677743119816,0.6275264848754605,-0.3764590709837009,-0.0977031962174519,all_viable_min100_full_s1,1,2.805806032868988,0.6315867487159866,0.3764590709837009
MED,SAU,regional_doy_climatology,351,13,2.9197417664228165,0.6833774919473978,0.1424120256168499,0.034174379431566,all_viable_min100_full_s1,1,2.805806032868988,0.6315867487159866,0.1424120256168499
MED,WCE,regional_doy_climatology,1000,14,2.846430751098741,0.6031326167002014,-0.2204271691751184,-0.0534386767073718,all_viable_min100_full_s1,1,2.805806032868988,0.6315867487159866,0.2204271691751184
MED,WNA,regional_doy_climatology,975,17,2.9154899390416795,0.5828544930693983,-0.2124344226915873,-0.0289087546890944,all_viable_min100_full_s1,1,2.805806032868988,0.6315867487159866,0.2124344226915873
NCA,CNA,regional_doy_climatology,438,14,2.8179064153729745,0.495244407433837,-0.677282490903293,-0.2242991605965216,all_viable_min100_full_s1,1,1.856917284730233,0.4786735558604231,0.677282490903293
NCA,EAS,regional_doy_climatology,110,16,6.650539449207962,0.4628958421808139,-2.2143177993233483,-0.1280231290476099,all_viable_min100_full_s1,1,1.856917284730233,0.4786735558604231,2.2143177993233483
NCA,EAU,regional_doy_climatology,241,6,3.4182535946571235,0.5069205897647351,-0.7801446241216368,-0.1579857358086002,all_viable_min100_full_s1,1,1.856917284730233,0.4786735558604231,0.7801446241216368
NCA,ENA,regional_doy_climatology,522,21,3.6237380293114088,0.4947182224744413,-1.0830473574810593,-0.2294902519117002,all_viable_min100_full_s1,1,1.856917284730233,0.4786735558604231,1.0830473574810593
