forecast_model,policy,n_pairs,point_r2,alpha,target_coverage,empirical_coverage,mean_bound_width,deploy_rate,adapt_rate,retrain_rate,unsafe_deploy_rate,mean_cost
patchtst_small,reliability_fusion_2src_conflict2,110,0.7605792956555038,0.05,0.95,0.9512727272727273,0.03463348033370385,0.0008484848484848484,0.26896969696969697,0.7301818181818182,0.0,0.7612121212121212
patchtst_small,three_source_concat_conflict2,110,0.82471603719752,0.2,0.8,0.8337575757575757,0.00749285228167373,0.1753333333333333,0.26909090909090905,0.5555757575757576,0.0,0.2999393939393939
patchtst_small,three_source_concat_conflict2,110,0.82471603719752,0.1,0.9,0.9415757575757575,0.01192787685259179,0.11478787878787879,0.27,0.6152121212121212,0.0,0.39866666666666667
patchtst_small,three_source_concat_conflict2,110,0.82471603719752,0.05,0.95,0.948,0.012150291891819563,0.08527272727272729,0.29078787878787876,0.6239393939393939,0.0,0.4476969696969697
patchtst_small,reliability_fusion_3src_global,110,0.8428758907063234,0.2,0.8,0.7987272727272727,0.01639454614212646,0.0,0.053090909090909084,0.9469090909090909,0.0,1.068181818181818
patchtst_small,reliability_fusion_3src_global,110,0.8428758907063234,0.1,0.9,0.9121818181818181,0.030230250107664447,0.0,0.0,1.0,0.0,1.1834545454545453
patchtst_small,reliability_fusion_3src_global,110,0.8428758907063234,0.05,0.95,0.9631515151515151,0.047151520754752936,0.0,0.0,1.0,0.0,1.1728484848484848
patchtst_small,reliability_fusion_3src_conflict3,110,0.8428758907063234,0.2,0.8,0.8255151515151515,0.018896946828418193,0.08206060606060607,0.25,0.6679393939393939,0.019790043290043288,0.585939393939394
patchtst_small,reliability_fusion_3src_conflict3,110,0.8428758907063234,0.1,0.9,0.9326060606060605,0.02684039233383468,0.0333939393939394,0.2801212121212121,0.6864848484848485,0.002184466019417476,0.6268484848484848
patchtst_small,reliability_fusion_3src_conflict3,110,0.8428758907063234,0.05,0.95,0.9513939393939392,0.02805327043189256,0.010545454545454545,0.2508484848484848,0.7386060606060606,0.0,0.7179393939393939
patchtst_small,three_source_concat_conflict3,110,0.82471603719752,0.2,0.8,0.8307272727272729,0.007973136586227099,0.16836363636363635,0.25890909090909087,0.5727272727272728,0.0,0.32399999999999995
patchtst_small,three_source_concat_conflict3,110,0.82471603719752,0.1,0.9,0.9331515151515152,0.01236497078815572,0.12012121212121213,0.25212121212121213,0.6277575757575757,0.0,0.41145454545454546
patchtst_small,three_source_concat_conflict3,110,0.82471603719752,0.05,0.95,0.9509090909090908,0.012965990292660802,0.0743030303030303,0.29078787878787876,0.6349090909090909,0.0,0.47896969696969693
regional_doy_climatology,reliability_fusion_2src_conflict2,110,0.9793391666345093,0.2,0.8,0.8246060606060606,0.17554903203578429,0.3504848484848485,0.021272727272727273,0.6282424242424242,0.0,0.2863636363636364
regional_doy_climatology,reliability_fusion_2src_conflict2,110,0.9793391666345093,0.1,0.9,0.9278181818181818,0.21360462958337176,0.33884848484848484,0.007939393939393939,0.6532121212121211,0.0,0.3398181818181818
regional_doy_climatology,reliability_fusion_2src_conflict2,110,0.9793391666345093,0.05,0.95,0.9456969696969696,0.21720979548062208,0.33842424242424235,0.0041818181818181815,0.6573939393939394,0.0,0.35987878787878785
regional_doy_climatology,three_source_concat_conflict2,110,0.9913828191892551,0.2,0.8,0.8280000000000001,0.11666456854659217,0.41096969696969704,0.027515151515151513,0.5615151515151514,0.0,0.10145454545454546
regional_doy_climatology,three_source_concat_conflict2,110,0.9913828191892551,0.1,0.9,0.9306666666666666,0.18671754241347124,0.3395757575757576,0.017636363636363638,0.6427878787878787,0.0,0.319030303030303
regional_doy_climatology,three_source_concat_conflict2,110,0.9913828191892551,0.05,0.95,0.9480606060606059,0.21441505959496407,0.33757575757575753,0.012727272727272726,0.6496969696969697,0.0,0.3326060606060606
regional_doy_climatology,reliability_fusion_3src_global,110,0.9798562375200859,0.2,0.8,0.8041212121212121,0.10121245163631883,0.3826060606060606,0.008727272727272728,0.6086666666666667,0.0,0.2116969696969697
regional_doy_climatology,reliability_fusion_3src_global,110,0.9798562375200859,0.1,0.9,0.9094545454545456,0.3123778768394321,0.25509090909090903,0.007454545454545454,0.7374545454545454,0.0,0.5970909090909091
regional_doy_climatology,reliability_fusion_3src_global,110,0.9798562375200859,0.05,0.95,0.9617575757575757,0.5530592270947337,0.1553939393939394,0.003575757575757576,0.841030303030303,0.0,0.9047272727272729
regional_doy_climatology,reliability_fusion_3src_conflict3,110,0.9798562375200859,0.2,0.8,0.8341818181818181,0.2140182005355354,0.30945454545454537,0.015757575757575755,0.6747878787878788,0.0,0.42060606060606065
regional_doy_climatology,reliability_fusion_3src_conflict3,110,0.9798562375200859,0.1,0.9,0.9361818181818182,0.2793568009167628,0.25581818181818183,0.0068484848484848485,0.7373333333333334,0.0,0.5873333333333333
regional_doy_climatology,reliability_fusion_3src_conflict3,110,0.9798562375200859,0.05,0.95,0.955878787878788,0.2909239924568046,0.255030303030303,0.004363636363636364,0.7406060606060606,0.0,0.6027272727272727
regional_doy_climatology,three_source_concat_conflict3,110,0.9913828191892551,0.2,0.8,0.8321818181818181,0.11575966484983369,0.4276969696969697,0.03763636363636364,0.5346666666666666,0.0,0.04424242424242424
regional_doy_climatology,three_source_concat_conflict3,110,0.9913828191892551,0.1,0.9,0.9344242424242426,0.19771462970747702,0.3287272727272727,0.031696969696969696,0.6395757575757576,0.0,0.3259393939393939
regional_doy_climatology,three_source_concat_conflict3,110,0.9913828191892551,0.05,0.95,0.9463030303030302,0.20087189407472142,0.3301818181818182,0.0223030303030303,0.6475151515151515,0.0,0.3318787878787879
spatial_knn_ridge,reliability_fusion_2src_conflict2,110,0.9317508580443491,0.2,0.8,0.8277575757575759,0.02282926282108798,0.3152727272727273,0.1021818181818182,0.5825454545454545,0.0030364147519720275,0.3464242424242424
spatial_knn_ridge,reliability_fusion_2src_conflict2,110,0.9317508580443491,0.1,0.9,0.9426060606060607,0.03501893174843661,0.21569696969696972,0.13042424242424241,0.653878787878788,0.0,0.5416363636363637
spatial_knn_ridge,reliability_fusion_2src_conflict2,110,0.9317508580443491,0.05,0.95,0.956969696969697,0.04150944157735988,0.17460606060606063,0.11521212121212121,0.7101818181818182,0.0,0.6260606060606061
spatial_knn_ridge,three_source_concat_conflict2,110,0.9377043406334085,0.2,0.8,0.825030303030303,0.011685916909364826,0.34036363636363637,0.11781818181818181,0.5418181818181818,0.021989272271204563,0.32745454545454544
spatial_knn_ridge,three_source_concat_conflict2,110,0.9377043406334085,0.1,0.9,0.9309090909090908,0.020114536371881448,0.29309090909090907,0.09363636363636364,0.6132727272727272,0.005675105581839327,0.39351515151515154
spatial_knn_ridge,three_source_concat_conflict2,110,0.9377043406334085,0.05,0.95,0.9507878787878788,0.027521916559231033,0.25890909090909087,0.06096969696969698,0.6801212121212122,0.0005828460038986355,0.5055151515151515
spatial_knn_ridge,reliability_fusion_3src_global,110,0.9249979081503018,0.2,0.8,0.7981212121212121,0.02400884111998049,0.25806060606060605,0.06593939393939395,0.676,0.0,0.4568484848484849
spatial_knn_ridge,reliability_fusion_3src_global,110,0.9249979081503018,0.1,0.9,0.914909090909091,0.03518877041328289,0.22909090909090907,0.051515151515151514,0.7193939393939394,0.0,0.5778787878787878
