canonical_station_uid,source_region,target_region,cell5,mae_out_minus_in,risk_class,p_safe,p_moderate,p_high,predicted_risk_class,recommendation
eur_ecad_01::24843,NEU,WCE,45_10,0.1577264120454229,high,0.01823271394431292,0.12470752788341467,0.8570597581722721,high,retrain
eur_ecad_01::24846,MED,WCE,45_10,0.1361352617739939,moderate,0.23012663815078152,0.6890715496580814,0.080801812191137,moderate,adapt
eur_ecad_01::24846,NEU,WCE,45_10,0.0879480041231781,moderate,0.04214245920917247,0.8496927290403924,0.1081648117504352,moderate,adapt
eur_ecad_01::24064,MED,WCE,45_15,0.1128618821021154,moderate,0.03287283478554538,0.8834407852881142,0.08368637992634016,moderate,adapt
eur_ecad_01::24064,NEU,WCE,45_15,0.1126494068454966,moderate,0.003637011572866542,0.9183107729418446,0.07805221548528894,moderate,adapt
eur_ecad_01::24065,MED,WCE,45_15,0.1128618821021154,moderate,0.03287283478554538,0.8834407852881142,0.08368637992634016,moderate,adapt
eur_ecad_01::24065,NEU,WCE,45_15,0.1126494068454966,moderate,0.003637011572866542,0.9183107729418446,0.07805221548528894,moderate,adapt
eur_ecad_01::27993,WCE,MED,35_10,0.2385094003639816,high,0.0138437339719485,0.08147699149998476,0.9046792745280663,high,retrain
eur_ecad_01::27993,NEU,MED,35_10,0.3536582898375591,high,0.0099307955791836,0.004744379488537688,0.9853248249322785,high,retrain
eur_ecad_01::27995,WCE,MED,35_10,0.1786772343648719,high,4.48601161867046e-05,0.007896498028741166,0.992058641855072,high,retrain
eur_ecad_01::27995,NEU,MED,35_10,0.2831456335716651,high,0.00027745104603800393,7.86423155587846e-05,0.9996439066384032,high,retrain
eur_ecad_01::27996,WCE,MED,35_10,0.2074027951609425,high,0.0013667310015637406,0.007171673261199769,0.9914615957372364,high,retrain
eur_ecad_01::27996,NEU,MED,35_10,0.2965768839217659,high,0.0033344298965476125,0.0013764593390864636,0.9952891107643659,high,retrain
eur_ecad_01::27997,WCE,MED,35_10,0.2095193531556884,high,0.0010092698309456278,0.027274034938497917,0.9717166952305563,high,retrain
eur_ecad_01::27997,NEU,MED,35_10,0.3126422076472268,high,0.0007696315735081723,0.0002711525574468224,0.9989592158690448,high,retrain
eur_ecad_01::24850,MED,WCE,45_15,0.0960476259528841,moderate,0.05987989564877257,0.4691890814563943,0.47093102289483346,high,adapt
eur_ecad_01::24850,NEU,WCE,45_15,0.164638965020881,high,0.022661544562596968,0.2710818235208582,0.7062566319165453,high,retrain
eur_ecad_01::24851,MED,WCE,45_15,-0.0129140086166286,safe,0.3118352655692568,0.5578153467823349,0.1303493876484082,moderate,adapt
eur_ecad_01::24851,NEU,WCE,45_15,0.1348292078180248,moderate,0.06508485749392134,0.31826026837674865,0.6166548741293303,high,retrain
eur_ecad_01::27998,WCE,MED,35_10,0.2300593235202188,high,0.001428705921043307,0.02626851382548233,0.9723027802534747,high,retrain
eur_ecad_01::27998,NEU,MED,35_10,0.3327643683227546,high,0.0012312452461582372,0.0007695730011931346,0.9979991817526485,high,retrain
eur_ecad_01::27999,WCE,MED,35_10,0.2252192642707982,high,0.0013186283785988247,0.028266088469636273,0.9704152831517647,high,retrain
eur_ecad_01::27999,NEU,MED,35_10,0.3402318918729552,high,0.0006057840062495477,0.0004549377150037361,0.9989392782787465,high,retrain
eur_ecad_01::28000,WCE,MED,35_15,0.1887500381224915,high,0.001045677898999156,0.10301545511601264,0.895938866984988,high,retrain
eur_ecad_01::28000,NEU,MED,35_15,0.2970271634635528,high,9.690644154003103e-05,0.00068134155653873,0.9992217520019213,high,retrain
eur_ecad_01::28001,WCE,MED,35_10,0.2585855171934188,high,0.0007956948957631312,0.010443021407126836,0.9887612836971099,high,retrain
eur_ecad_01::28001,NEU,MED,35_10,0.3459039419911134,high,0.0012290365202243434,0.0015428412924314821,0.997228122187344,high,retrain
eur_ecad_01::28002,WCE,MED,35_10,0.18762083007545,high,0.0006894160649526703,0.011491969628530468,0.9878186143065166,high,retrain
eur_ecad_01::28002,NEU,MED,35_10,0.2935690269448998,high,0.0004927931793216853,0.0009471001852968018,0.9985601066353814,high,retrain
eur_ecad_01::27390,WCE,MED,35_-10,0.2558817703559044,high,0.0003055934711926081,0.0548836670031204,0.9448107395256867,high,retrain
eur_ecad_01::27390,NEU,MED,35_-10,0.3812533943678131,high,4.036707184584485e-05,0.00028866047173808646,0.9996709724564159,high,retrain
eur_ecad_01::21784,WCE,MED,40_10,0.1283518140074826,moderate,0.008044705627104756,0.17845734234405036,0.8134979520288446,high,retrain
eur_ecad_01::21784,NEU,MED,40_10,0.2452134576711744,high,0.0031616984141471247,0.0086497489674295,0.9881885526184236,high,retrain
eur_ecad_01::21785,WCE,MED,40_10,0.1090150542489651,moderate,0.008044705627104756,0.17845734234405036,0.8134979520288446,high,retrain
eur_ecad_01::21785,NEU,MED,40_10,0.243817232073622,high,0.0031616984141471247,0.0086497489674295,0.9881885526184236,high,retrain
eur_ecad_01::21794,MED,NEU,55_-5,-0.1317775748273795,safe,0.9721625954528512,0.02445489674377498,0.00338250780337394,safe,deploy
eur_ecad_01::21794,WCE,NEU,55_-5,-0.0396416844285982,safe,0.8499101768312797,0.14893023347310605,0.0011595896956141459,safe,deploy
eur_ecad_01::28068,WCE,MED,35_10,0.2187630424278528,high,0.0009903501516387648,0.047387071064881915,0.9516225787834787,high,retrain
eur_ecad_01::28068,NEU,MED,35_10,0.3240568446881355,high,0.0002770289173909835,0.0003905476942964521,0.9993324233883125,high,retrain
eur_ecad_01::28069,WCE,MED,35_15,0.1638989715961072,high,0.0008834152026863093,0.02083790710889996,0.978278677688414,high,retrain
eur_ecad_01::28069,NEU,MED,35_15,0.2648029617702176,high,0.00029824576769282596,0.0003876202987860981,0.9993141339335213,high,retrain
eur_ecad_01::28070,WCE,MED,35_10,0.2411005110296251,high,0.0020702522693525375,0.06164829170904799,0.9362814560215988,high,retrain
eur_ecad_01::28070,NEU,MED,35_10,0.3425350851972362,high,0.0009407738728202418,0.001139140463398331,0.9979200856637814,high,retrain
eur_ecad_01::28071,WCE,MED,35_10,0.2354554017701451,high,0.0007958280247298068,0.035317253898193866,0.963886918077076,high,retrain
eur_ecad_01::28071,NEU,MED,35_10,0.3404394670780055,high,0.0004260169886757094,0.00012203990048213839,0.9994519431108421,high,retrain
eur_ecad_01::28074,MED,NEU,60_10,-0.0693784090768927,safe,0.8832130754152852,0.06341592413010004,0.05337100045461449,safe,deploy
eur_ecad_01::28074,WCE,NEU,60_10,0.0099330228646419,moderate,0.15284724339093841,0.8250418739503667,0.022110882658694757,moderate,adapt
eur_ecad_01::27419,WCE,MED,35_-5,0.1573569193192083,high,0.0003026287042088357,0.07569826403437306,0.9239991072614185,high,retrain
eur_ecad_01::27419,NEU,MED,35_-5,0.2852549330526663,high,0.00014491162231207325,0.000848011527013623,0.9990070768506746,high,retrain
eur_ecad_01::27420,WCE,MED,35_-5,0.2045818416998761,high,0.00025520675330050125,0.10917813128047511,0.8905666619662246,high,retrain
eur_ecad_01::27420,NEU,MED,35_-5,0.3435590234226273,high,8.76491911383146e-05,0.0018334575453795262,0.9980788932634822,high,retrain
eur_ecad_01::27421,WCE,MED,35_-5,0.1775081558081255,high,0.00029333755768822005,0.10600605713335101,0.8937006053089609,high,retrain
eur_ecad_01::27421,NEU,MED,35_-5,0.3256388845305249,high,0.0001146228035840178,0.0021102305313895502,0.9977751466650264,high,retrain
eur_ecad_01::27422,WCE,MED,35_-5,0.1775081558081255,high,0.0003047583245610514,0.10581128587965574,0.8938839557957833,high,retrain
eur_ecad_01::27422,NEU,MED,35_-5,0.3256388845305249,high,0.0001146228035840178,0.0021102305313895502,0.9977751466650264,high,retrain
eur_ecad_01::27423,WCE,MED,35_-5,0.1903857145473679,high,0.00013123576815101613,0.09661431423100732,0.9032544500008419,high,retrain
eur_ecad_01::27423,NEU,MED,35_-5,0.3378702214606814,high,2.3984541488227886e-05,0.0014982538966583667,0.9984777615618535,high,retrain
eur_ecad_01::27424,WCE,MED,35_-5,0.1748719251425963,high,0.00010454355018035023,0.10625347332365823,0.8936419831261619,high,retrain
eur_ecad_01::27424,NEU,MED,35_-5,0.3177017141138214,high,2.3984541488227886e-05,0.001707022603931759,0.9982689928545803,high,retrain
