ar6_region,cell5,n_stations,latitude_mean,latitude_std,latitude_median,longitude_mean,longitude_std,longitude_median,n_obs_train_mean,n_obs_train_std,n_obs_train_median,wet_day_fraction_gt1mm_mean,wet_day_fraction_gt1mm_std,wet_day_fraction_gt1mm_median,wet_day_mean_intensity_mean,wet_day_mean_intensity_std,wet_day_mean_intensity_median,daily_precip_cv_mean,daily_precip_cv_std,daily_precip_cv_median,monthly_climatology_amplitude_mean,monthly_climatology_amplitude_std,monthly_climatology_amplitude_median,top3_month_precip_fraction_mean,top3_month_precip_fraction_std,top3_month_precip_fraction_median,occurrence_lag1_autocorr_mean,occurrence_lag1_autocorr_std,occurrence_lag1_autocorr_median,wet_intensity_lag1_autocorr_mean,wet_intensity_lag1_autocorr_std,wet_intensity_lag1_autocorr_median,dry_spell_mean_days_mean,dry_spell_mean_days_std,dry_spell_mean_days_median,dry_spell_p95_days_mean,dry_spell_p95_days_std,dry_spell_p95_days_median,wet_day_p95_mean,wet_day_p95_std,wet_day_p95_median,wet_day_p99_mean,wet_day_p99_std,wet_day_p99_median,extreme_tail_ratio_p99_p95_mean,extreme_tail_ratio_p99_p95_std,extreme_tail_ratio_p99_p95_median,coverage_threshold_mean,coverage_threshold_std,coverage_threshold_median
ENA,30_-90,46,32.67285652173913,1.443710136442782,33.1065,-87.06751086956523,1.1476167004764966,-86.94704999999999,2896.282608695652,33.48675561968294,2909.5,0.23119234622434154,0.014172756543285673,0.23082200818049875,15.80133853983901,1.5261843176469725,15.542273706849542,2.9794318774617476,0.18848544929625125,2.9082511872130277,692.4826086956522,222.3972634767172,629.2,0.32291222773828104,0.022078542211193403,0.31829507626087905,0.1870581277434327,0.015136492723843261,0.18638068906092634,0.04315242086452735,0.04960457182413135,0.0477647339290727,5.27070138378171,0.29306717646121433,5.261479294538109,14.671739130434775,1.1908751298432676,14.349999999999966,49.96532608695651,6.23579794432239,48.93749999999996,85.28791304347824,18.414051285576107,80.60499999999959,1.7000964870713162,0.2501093645801981,1.663351818913589,95.0,0.0,95.0
ENA,35_-75,5,39.34022,0.2254826534348043,39.3831,-74.64392000000001,0.22735449632677263,-74.5669,2908.8,19.123284236762323,2921.0,0.24490310244119146,0.009059440881505666,0.2457221081451061,13.202508675354967,0.7508890788321173,13.629219858156027,2.9340856599180336,0.1245736985038952,2.9528921249703335,539.3199999999999,142.7023370516404,537.8,0.32743239159617754,0.017757132151644293,0.3284672358229208,0.12803553773757728,0.012372709258440749,0.12623078718367634,0.026644279402233934,0.023838279305309077,0.021605737519652873,4.649199740547032,0.12275278912529078,4.645922746781116,12.589999999999998,0.8891006692158083,13.0,41.196,2.776142557578779,42.05,67.44340000000003,5.016657831664453,64.98599999999996,1.6468062953065208,0.21073758891404343,1.5365564874198323,95.0,0.0,95.0
ENA,35_-80,48,37.688454225,1.48995538903423,37.626900000000006,-77.41781986041667,1.6471422568252188,-77.18555,2903.1041666666665,33.30723490719581,2921.0,0.24381646987967842,0.035312586096113555,0.2351426750690363,12.509744099319391,1.2790717837796894,12.621312432724533,3.042548244935086,0.3433632272101667,3.028411519563697,627.7166666666666,172.47074291925733,618.0,0.33035029026873325,0.0242148192415567,0.3341624067475989,0.15369595372719033,0.019473334190959327,0.15444848540060926,0.059954417636325426,0.05247471381990488,0.05058322820627267,4.878407984101748,0.4777244849767583,4.980738767281106,13.001041666666666,1.3584835719463904,13.0,40.443854166666654,5.326220091926522,40.24999999999998,73.23870833333332,15.416968129178333,73.17399999999981,1.7996775583716824,0.2127481150455366,1.7597364996746927,95.0,0.0,95.0
ENA,35_-85,50,37.080372,1.7095624863426906,36.416799999999995,-82.80903,1.354887657252628,-82.74735000000001,2894.56,40.01334471275858,2917.0,0.27225289822587667,0.03460926672686188,0.26686075403411064,11.61604305721243,1.659885700205165,11.447823432343235,2.6180880003864195,0.23242004733082253,2.6311824402319415,521.266,126.90370704287754,515.7,0.31114411097760486,0.014750021694438889,0.3095063310441617,0.17537271777679192,0.028308111958710944,0.172173217266117,0.02990504242269662,0.03603256277717159,0.029629455966082102,4.475385851392729,0.5322416295425424,4.44145554667835,11.952999999999996,1.551378912649078,12.0,36.73019999999998,6.460061758092361,35.212499999999984,58.937899999999956,11.266520284290358,57.21600000000001,1.606380634518554,0.13898406084058917,1.6025608427321978,95.0,0.0,95.0
ENA,35_-90,53,36.70179811320755,1.534015164087441,36.1136,-87.38787735849057,1.5624324280332302,-87.0422,2900.2264150943397,29.261842776396193,2911.0,0.24801948250992467,0.019108455858722236,0.25,13.587085451348916,1.1166005533744756,13.498028909329829,2.824447551308618,0.17795534644904684,2.8335669885859596,591.2528301886792,126.87903173400666,572.2,0.32070124278817896,0.015107080840488866,0.31833654431655967,0.17993337089027445,0.01909583717862045,0.18321050478315837,0.04399109603660688,0.05049536678759827,0.05060024180210082,4.897888494894769,0.3699305305922476,4.856823266219239,13.650943396226408,1.2302083378138466,13.349999999999966,42.414150943396216,3.8262654688764512,42.48999999999999,71.0191320754717,8.830283347744388,71.02000000000001,1.6755558319667654,0.15195783148878206,1.66787037037036,95.0,0.0,95.0
ENA,40_-65,1,44.98333333333333,,44.98333333333333,-64.91666666666667,,-64.91666666666667,2922.0,,2922.0,0.3316221765913758,,0.3316221765913758,9.391331269349847,,9.391331269349847,2.3502062790263443,,2.3502062790263443,499.79999999999995,,499.79999999999995,0.32498978121033495,,0.32498978121033495,0.13828795107344088,,0.13828795107344088,0.0952054726773338,,0.0952054726773338,3.493738819320215,,3.493738819320215,9.100000000000023,,9.100000000000023,30.999999999999908,,30.999999999999908,53.767999999999844,,53.767999999999844,1.734451612903226,,1.734451612903226,95.0,,95.0
ENA,40_-70,3,44.563266666666664,0.5231393918768966,44.7978,-69.07686666666666,0.5526802089213307,-68.8186,2916.6666666666665,4.618802153516973,2914.0,0.2992019612808018,0.007442189027246088,0.29705681040383297,11.465378571113797,0.725809137508863,11.176116071428572,2.5956543753148704,0.026067552542600795,2.6021958335086595,756.0333333333333,82.59336131514043,776.6,0.3267125135376499,0.009784370458377264,0.3316241267995973,0.1453624739874995,0.019500292145694712,0.14088008623131948,0.017153010810474174,0.02896039396210469,0.020753226666528395,3.8916493314925056,0.15834840757385493,3.8609022556390977,11.0,1.0,11.0,37.99166666666667,1.452655614154069,37.6,65.66333333333337,3.3230420300280676,67.12499999999997,1.7292665549526933,0.09063272216103294,1.7172979797979806,95.0,0.0,95.0
ENA,40_-75,85,42.30840251764706,1.3264165738946674,42.2706,-72.51899564705883,1.390448454912338,-72.3247,2909.423529411765,21.289040591340086,2917.0,0.28110124134595216,0.03414501481358414,0.2734428473648186,12.007073056743463,1.5414870032865222,12.319451697127938,2.6872993929086033,0.21366341202229927,2.699331562371965,639.3035294117648,186.04210573534849,621.2,0.32356068675153693,0.01999530165988978,0.320622140509927,0.16035616581659023,0.019471117371817573,0.15876956843343418,0.04311384149372266,0.03832265021867057,0.039166481799792305,4.256212002661628,0.40076774443059426,4.309716599190283,11.717647058823527,1.2140719040630572,12.0,38.499352941176454,6.011293874085364,39.92999999999999,65.71303529411762,12.420469717794271,66.4,1.7046020327789984,0.15065281013069817,1.6916846986089664,95.0,0.0,95.0
ENA,40_-80,47,42.059435744680854,1.316409475564962,42.1997,-77.17076794326242,1.3011682320143247,-76.90780333333333,2898.68085106383,35.26428565472711,2917.0,0.303916780960552,0.04266093893098856,0.30489893799246315,9.62157449325899,1.7580357711099253,8.934806629834254,2.4763740821741753,0.2687463087585653,2.4085634381523198,544.6595744680851,128.68248024324885,521.0999999999999,0.3268527224564606,0.019431035088642527,0.32522014986599573,0.1588019516905179,0.020160575977931684,0.15670651878032704,0.0474799375506626,0.035863381219390866,0.05173305682931224,3.9430447212495867,0.5367365779777845,3.8636363636363638,11.267021276595738,1.7338470857975845,11.0,30.205425531914884,6.570836740260714,27.2,50.998106382978705,12.7909878196127,44.835999999999736,1.6815980432966937,0.12338304136344216,1.6629339305711115,95.0,0.0,95.0
ENA,40_-85,30,42.0360725,1.164737341442408,41.974050000000005,-82.50089688888889,1.4984311344075256,-82.34835,2903.9666666666667,31.140929197189557,2915.5,0.28836639835740446,0.040478931563976264,0.27917729797883084,8.883292546119867,0.8442561265057368,9.043774793154254,2.5105437959520183,0.2925589888802246,2.5096271887241857,401.60999999999996,103.09901952776373,395.35,0.3127328895143969,0.01801848850615582,0.3094881162587963,0.15847463237429166,0.02207218273047539,0.156740072856776,0.05959283400621755,0.05356487859151736,0.056231815432612964,4.1575141324055656,0.5294558719517811,4.168388868386487,11.474999999999994,1.2177388599508874,11.149999999999977,27.33816666666666,3.1614121362774474,27.049999999999976,45.85813333333331,7.655454317621881,44.996999999999886,1.674836006226933,0.17167564232411908,1.641117246616222,95.0,0.0,95.0
