forecast_model,feature_set,cv_kind,estimator,n_runs,mae_mean,mae_sd,r2_mean,r2_sd,r2_min,r2_max,r2_se,r2_ci95_halfwidth
patchtst_small,generic_shift,group_by_cell,ridge,3,1.1373911232218277,0.013447831836177102,-0.00025854579866016665,0.00013140393489187546,-0.0004072276902804,-0.00015798910504,7.586609718240036e-05,0.0009639701633536331
patchtst_small,generic_shift,leave_target_region_out,random_forest,3,1.140990256437641,0.012476046677222298,-0.003582614253711567,0.0016341582065838487,-0.005468554623857,-0.0025858413332333,0.0009434816804696212,0.011988071397120013
patchtst_small,generic_shift,leave_target_region_out,ridge,3,1.137383122528121,0.013443659420428569,-0.00010718933816397652,0.0004117210791171042,-0.0005250514128549,0.0002981028763286,0.00023770727585930332,0.0030203573144078504
patchtst_small,physical_knowledge,group_by_cell,random_forest,3,1.1869993941858477,0.02569152897559722,-0.13680133188188812,0.1034027775846064,-0.2539493612446444,-0.0582426024282478,0.059699621473427514,0.7585556131288679
patchtst_small,physical_knowledge,group_by_cell,ridge,3,1.1402473821590842,0.013301881167686592,-0.0051250223660560664,0.002329966262146255,-0.0066870428900867,-0.0024469586797482,0.0013452066486528864,0.01709247109059325
patchtst_small,physical_knowledge,leave_target_region_out,random_forest,3,1.1734787618035665,0.01789186029750058,-0.0715288945709357,0.0358576891805109,-0.1128700179437935,-0.0488689832247584,0.0207024465008859,0.2630495237852885
patchtst_small,physical_knowledge,leave_target_region_out,ridge,3,1.139175098689497,0.013558137807011846,-0.0026135390573327664,0.0013972775572316798,-0.0040486212921566,-0.0012574145026058,0.0008067185738003331,0.010250331363389537
patchtst_small,physical_plus_shift,group_by_cell,random_forest,3,1.1867963226230729,0.0256759434600159,-0.13700633765428713,0.10308041705940092,-0.2537577550095213,-0.0585706616213133,0.059513506537424016,0.7561907986474995
patchtst_small,physical_plus_shift,group_by_cell,ridge,3,1.1400796835871452,0.01341758458506434,-0.0045296937333046,0.0020868704934448997,-0.0062989752325803,-0.0022282747057942,0.0012048552411543,0.015309137371869801
patchtst_small,physical_plus_shift,leave_target_region_out,random_forest,3,1.1723321609790098,0.01831932772926557,-0.0680216616734598,0.03467624526688172,-0.1078531899556136,-0.0445662645231681,0.02002033953931965,0.2543825330794821
patchtst_small,physical_plus_shift,leave_target_region_out,ridge,3,1.1389893062573393,0.013850116353741327,-0.0021373703920961,0.0018873022019056235,-0.0043161118480385,-0.0010064803621521,0.0010896344343123852,0.013845118210239536
regional_doy_climatology,generic_shift,group_by_cell,random_forest,3,0.10731015570699658,0.00016659701717953104,0.9664167342973031,0.0013894289022924038,0.9650904082796692,0.9678616627093812,0.0008021871507583656,0.010192754174470913
regional_doy_climatology,generic_shift,group_by_cell,ridge,3,0.4550744824051492,0.00838136715772912,0.3982448101545389,0.014686658951237936,0.3884754518835177,0.4151343916378114,0.00847934649899345,0.10774031264735948
regional_doy_climatology,generic_shift,leave_target_region_out,random_forest,3,0.7989817402956897,0.0024215356377608696,-0.48494966968837533,0.010906206569748942,-0.4961457626050138,-0.4743585310725315,0.006296701298882218,0.08000717586775537
regional_doy_climatology,generic_shift,leave_target_region_out,ridge,3,0.6327530654247304,0.0004581048026281258,0.05493138212279037,0.0014366058598044565,0.0537090928248626,0.0565137852597753,0.0008294247798774967,0.010538841066593597
regional_doy_climatology,physical_knowledge,group_by_cell,random_forest,3,0.6589230238765923,0.007244556292395761,0.03950580401116057,0.009084102780082084,0.0317010661756828,0.0494773964219578,0.0052447091854266195,0.06664034869307663
regional_doy_climatology,physical_knowledge,group_by_cell,ridge,3,0.6607363074129838,0.0022629911340031166,0.03995990526495293,0.0026350279300692836,0.037319362196913,0.0425893832080677,0.0015213340847476833,0.019330382353316602
regional_doy_climatology,physical_knowledge,leave_target_region_out,random_forest,3,0.7227827320161677,0.0007420367262404088,-0.05931530744989253,0.0005785043316782493,-0.0599062604508362,-0.0587501122537816,0.0003339996316218018,0.004243867701279513
regional_doy_climatology,physical_knowledge,leave_target_region_out,ridge,3,0.7059869595528375,0.0007637738574503378,-0.03635344429740617,0.0002659014463217589,-0.0366287520695831,-0.0360980712451202,0.00015351827161177832,0.0019506345898824466
regional_doy_climatology,physical_plus_shift,group_by_cell,random_forest,3,0.1164827407414256,0.009238506340647453,0.8267205282416953,0.058973985773487475,0.7624382061109254,0.8783236597653469,0.034048646561508154,0.4326290742089373
regional_doy_climatology,physical_plus_shift,group_by_cell,ridge,3,0.3999275656154249,0.0027293705517244696,0.5750240049350325,0.007177172884556823,0.567416775298326,0.5816753124256431,0.004143742696919365,0.052651243082152736
regional_doy_climatology,physical_plus_shift,leave_target_region_out,random_forest,3,0.6955431576387077,0.0065914508316831525,-0.342435866453422,0.01837244616178012,-0.3632739911458436,-0.3285706181800119,0.010607336737175661,0.13477899229083154
regional_doy_climatology,physical_plus_shift,leave_target_region_out,ridge,3,0.5470560497469861,0.0021052962364914553,0.21466086415413718,0.0019289264761353422,0.2124413444995158,0.2159320449447642,0.0011136662202437361,0.014150471002465389
spatial_knn_ridge,generic_shift,group_by_cell,random_forest,3,0.02919579536303363,0.00039997597964483444,0.6555408217103131,0.0036005754951899927,0.6532732102162586,0.6596925070905575,0.0020787932313855125,0.02641357240269358
spatial_knn_ridge,generic_shift,group_by_cell,ridge,3,0.05750337357170643,0.0013075306696519735,0.20558723143934268,0.00822281476726556,0.1983012731075283,0.2145028561544082,0.004747444319377202,0.06032199949681825
spatial_knn_ridge,generic_shift,leave_target_region_out,random_forest,3,0.09442896016210689,0.0025382881087114293,-0.9274547318036014,0.03534787515485789,-0.9504249626514384,-0.8867506388297886,0.02040810523593849,0.2593095634104863
spatial_knn_ridge,generic_shift,leave_target_region_out,ridge,3,0.07274224482047532,0.0014333625908609059,-0.15887440492443752,0.0109334875612892,-0.1681719396271186,-0.1468291494474933,0.006312451986691745,0.08020730733180284
spatial_knn_ridge,physical_knowledge,group_by_cell,random_forest,3,0.060097289453565704,0.0005161272538501839,0.30503288674398815,0.011447107909113496,0.2953827066999127,0.3176804954346252,0.006608990832769371,0.08397519062237048
spatial_knn_ridge,physical_knowledge,group_by_cell,ridge,3,0.06625142947989122,0.0014546312378522295,0.0303445204218802,0.025417138985461007,0.0009975229443845,0.0453282746974642,0.014674592035286045,0.18645837082396025
spatial_knn_ridge,physical_knowledge,leave_target_region_out,random_forest,3,0.06925370587450233,0.0006732812917431091,-0.020515285384094768,0.019425089662112528,-0.0419789738656342,-0.0041428147635083,0.011215080745453285,0.14250111208734692
