forecast_model,observed_reference,policy,mean_cost,unsafe_deploy_rate,unnecessary_retrain_rate,deploy_rate,adapt_rate,retrain_rate,n_pairs
regional_doy_climatology,observed_expected_decision,phyk_tas_conservative,0.05454545454545454,0.0,0.00909090909090909,0.43636363636363634,0.00909090909090909,0.5545454545454546,110
regional_doy_climatology,observed_expected_decision,phyk_tas_expected,0.045454545454545456,0.00909090909090909,0.0,0.45454545454545453,0.02727272727272727,0.5181818181818182,110
regional_doy_climatology,observed_expected_decision,predicted_mean,0.045454545454545456,0.00909090909090909,0.0,0.45454545454545453,0.02727272727272727,0.5181818181818182,110
regional_doy_climatology,observed_expected_decision,always_deploy,5.363636363636363,0.5545454545454546,0.0,1.0,0.0,0.0,110
regional_doy_climatology,observed_expected_decision,always_adapt,2.518181818181818,0.0,0.0,0.0,1.0,0.0,110
regional_doy_climatology,observed_expected_decision,always_retrain,1.3727272727272728,0.0,0.44545454545454544,0.0,0.0,1.0,110
regional_doy_climatology,observed_expected_decision,source_accuracy_rank,1.2272727272727273,0.03636363636363636,0.13636363636363635,0.2727272727272727,0.18181818181818182,0.5454545454545454,110
regional_doy_climatology,observed_expected_decision,shift_rank,2.7,0.13636363636363635,0.24545454545454545,0.23636363636363636,0.2545454545454545,0.509090909090909,110
spatial_knn_ridge,observed_expected_decision,phyk_tas_conservative,0.3,0.0,0.05454545454545454,0.33636363636363636,0.1,0.5636363636363636,110
spatial_knn_ridge,observed_expected_decision,phyk_tas_expected,0.2727272727272727,0.00909090909090909,0.0,0.41818181818181815,0.10909090909090909,0.4727272727272727,110
spatial_knn_ridge,observed_expected_decision,predicted_mean,0.2727272727272727,0.00909090909090909,0.0,0.41818181818181815,0.10909090909090909,0.4727272727272727,110
spatial_knn_ridge,observed_expected_decision,always_deploy,5.363636363636363,0.5636363636363636,0.0,1.0,0.0,0.0,110
spatial_knn_ridge,observed_expected_decision,always_adapt,2.4727272727272727,0.0,0.0,0.0,1.0,0.0,110
spatial_knn_ridge,observed_expected_decision,always_retrain,1.3636363636363635,0.0,0.43636363636363634,0.0,0.0,1.0,110
spatial_knn_ridge,observed_expected_decision,source_accuracy_rank,1.6363636363636365,0.06363636363636363,0.17272727272727273,0.2727272727272727,0.18181818181818182,0.5454545454545454,110
spatial_knn_ridge,observed_expected_decision,shift_rank,2.3,0.11818181818181818,0.2,0.23636363636363636,0.2545454545454545,0.509090909090909,110
stgcn_diffusion,observed_expected_decision,phyk_tas_conservative,0.5454545454545454,0.0,0.1,0.01818181818181818,0.09090909090909091,0.8909090909090909,110
stgcn_diffusion,observed_expected_decision,phyk_tas_expected,0.34545454545454546,0.0,0.045454545454545456,0.02727272727272727,0.21818181818181817,0.7545454545454545,110
stgcn_diffusion,observed_expected_decision,predicted_mean,0.34545454545454546,0.0,0.045454545454545456,0.02727272727272727,0.21818181818181817,0.7545454545454545,110
stgcn_diffusion,observed_expected_decision,always_deploy,7.136363636363637,0.7909090909090909,0.0,1.0,0.0,0.0,110
stgcn_diffusion,observed_expected_decision,always_adapt,2.7545454545454544,0.0,0.0,0.0,1.0,0.0,110
