canonical_station_uid,ar6_region,cell5,latitude,longitude,n_obs_train,wet_day_fraction_gt1mm,wet_day_mean_intensity,daily_precip_cv,monthly_climatology_amplitude,top3_month_precip_fraction,occurrence_lag1_autocorr,wet_intensity_lag1_autocorr,dry_spell_mean_days,dry_spell_p95_days,wet_day_p95,wet_day_p99,extreme_tail_ratio_p99_p95,source_id,source_station_id,coverage_threshold
eur_ecad_01::24236,WCE,45_10,47.20888888888889,11.461666666666666,2922,0.3059548254620123,7.194630872483222,2.33392841090116,940.1999999999999,0.4682110527029266,0.26877115158535325,0.06562457904973656,4.466960352422907,14.0,21.569999999999983,34.507999999999726,1.5998145572554359,eur_ecad_01,24236,95
eur_ecad_01::24239,WCE,45_10,47.15,11.85,2922,0.34496919917864477,8.469146825396827,2.142243886916152,1053.7,0.4280819949184305,0.2759243355819414,0.0829344132709581,3.9958246346555324,12.0,26.464999999999996,40.6,1.5341016436803327,eur_ecad_01,24239,95
eur_ecad_01::24240,WCE,45_10,47.15916666666666,11.850277777777777,2922,0.34496919917864477,8.469146825396827,2.142243886916152,1053.7,0.4280819949184305,0.2759243355819414,0.0829344132709581,3.9958246346555324,12.0,26.464999999999996,40.6,1.5341016436803327,eur_ecad_01,24240,95
eur_ecad_01::24242,WCE,45_10,47.13305555555556,12.616666666666667,2922,0.47433264887063653,13.773881673881673,1.7467220604428282,1495.1,0.36869550750482216,0.3498776698054427,0.1769474144562655,3.240506329113924,10.0,41.525,62.98500000000018,1.5167971101745978,eur_ecad_01,24242,95
eur_ecad_01::19998,NEU,55_10,59.12305555555555,11.375555555555556,2922,0.3271731690622861,7.8372384937238495,2.0139957627981135,711.3,0.36004256865493434,0.28687272573606504,-0.007485292729640702,4.292576419213974,14.149999999999977,21.35,32.450000000000045,1.5199063231850138,eur_ecad_01,19998,95
eur_ecad_01::19546,NEU,60_10,63.58305555555556,10.766666666666667,2922,0.39698836413415467,6.038448275862069,1.830779045810224,500.4,0.3090716282656898,0.30995824487771195,0.10354440077927,3.648033126293996,11.0,15.8,26.20500000000004,1.658544303797471,eur_ecad_01,19546,95
eur_ecad_01::19779,NEU,60_10,64.72888888888889,12.815555555555555,2922,0.44490075290896647,7.6586923076923075,1.694591253470243,728.9000000000001,0.34673223786245755,0.40322399351923843,0.19437542923845202,3.7633410672853826,12.0,21.3,30.801,1.4460563380281688,eur_ecad_01,19779,95
eur_ecad_01::19782,NEU,60_5,62.57888888888889,9.193888888888887,2922,0.32888432580424365,6.2046826222684714,2.1016360600140818,437.3,0.3212726037589364,0.3058389112943768,0.13970755601647852,4.377232142857143,14.649999999999977,17.5,30.25999999999999,1.7291428571428566,eur_ecad_01,19782,95
eur_ecad_01::19783,NEU,55_10,59.91666666666666,10.783055555555556,2922,0.3062970568104038,7.363798882681564,2.257127398597183,743.4999999999999,0.37792726197516263,0.28270087598185123,0.08164967185008204,4.555056179775281,16.799999999999955,22.95999999999999,33.13599999999997,1.4432055749128911,eur_ecad_01,19783,95
eur_ecad_01::15105,WCE,50_10,51.81305555555555,13.235555555555557,2920,0.27294520547945206,5.53525721455458,2.5093513681037063,560.3,0.37377632114474213,0.22331859458832962,0.11580820418345085,4.7073170731707314,16.0,16.2,27.947999999999954,1.7251851851851825,eur_ecad_01,15105,95
eur_ecad_01::15106,WCE,50_10,51.32277777777778,11.365555555555556,2922,0.2867898699520876,5.534367541766109,2.523324259271721,327.20000000000005,0.34538333777604624,0.21740918361781195,0.06947965121190822,4.452991452991453,13.649999999999977,16.615,28.755999999999993,1.7307252482696356,eur_ecad_01,15106,95
eur_ecad_01::15107,WCE,50_10,51.29805555555556,13.695833333333333,2922,0.30424366872005476,5.702024746906637,2.4374908017692163,539.1999999999999,0.3559008439216871,0.2286979752530941,0.15777519582155997,4.2531380753138075,13.149999999999977,17.339999999999964,30.848000000000003,1.7790080738177663,eur_ecad_01,15107,95
eur_ecad_01::15108,WCE,45_5,49.11666666666667,9.55,2922,0.36413415468856947,7.197462406015038,2.0009117959192046,510.5,0.333239555493037,0.28211583646171806,0.08993635419664964,3.8230452674897117,12.0,21.0,31.684999999999945,1.5088095238095212,eur_ecad_01,15108,95
eur_ecad_01::20595,NEU,50_5,52.931666666666665,5.881388888888889,2922,0.3781656399726215,6.401628959276018,1.9067909642782037,765.5,0.3559690771020045,0.2995895248578241,0.03760808064362015,3.7775467775467777,13.0,17.779999999999998,28.980000000000018,1.629921259842521,eur_ecad_01,20595,95
eur_ecad_01::20489,NEU,50_5,52.68805555555555,5.230555555555556,2922,0.36892539356605064,6.328014842300556,1.9255956104012195,594.9,0.3424375124406404,0.3160759279512268,0.04580543795541032,3.9655913978494626,13.0,17.615,28.769000000000005,1.6332103321033216,eur_ecad_01,20489,95
eur_ecad_01::20490,WCE,50_0,51.59055555555556,4.776388888888889,2922,0.3545516769336071,6.424710424710424,2.0389359427014084,536.0999999999999,0.34831346173443395,0.3146459290679856,0.05068058454989073,4.117903930131004,13.0,17.625,30.780000000000108,1.7463829787234104,eur_ecad_01,20490,95
eur_ecad_01::20491,WCE,50_0,51.59055555555556,4.776388888888889,2922,0.3545516769336071,6.424710424710424,2.0389359427014084,536.0999999999999,0.34831346173443395,0.3146459290679856,0.05068058454989073,4.117903930131004,13.0,17.625,30.780000000000108,1.7463829787234104,eur_ecad_01,20491,95
eur_ecad_01::20493,NEU,50_0,52.674166666666665,4.805,2922,0.3798767967145791,6.43045045045045,1.9449784023018855,719.7,0.36162741828337464,0.3124521027037462,0.054869788528533615,3.8308668076109935,12.0,18.884999999999966,30.09300000000019,1.5934868943606164,eur_ecad_01,20493,95
eur_ecad_01::19549,NEU,60_5,61.231388888888894,6.083055555555555,2917,0.5008570449091533,12.007186858316222,1.750875316056269,1635.6999999999998,0.3738103441459048,0.4266107180490743,0.27998827281254013,3.4584323040380047,12.0,38.0,56.54000000000005,1.4878947368421065,eur_ecad_01,19549,95
eur_ecad_01::19553,NEU,65_10,67.54305555555555,14.878055555555555,2918,0.41706648389307743,7.385209531635168,1.8407418329420109,830.6999999999999,0.38579683864413444,0.3661634766032228,0.06596633095521114,3.78,13.0,20.0,35.41999999999996,1.770999999999998,eur_ecad_01,19553,95
eur_ecad_01::19554,NEU,65_10,68.14694444444446,13.640555555555554,2922,0.4887063655030801,7.3165266106442575,1.6255271452240903,1154.3999999999999,0.38309538588868186,0.3992141544617439,0.1398980464739722,3.4031890660592254,10.0,20.264999999999986,32.0,1.5790772267456217,eur_ecad_01,19554,95
eur_ecad_01::19396,NEU,60_10,60.27388888888889,11.119166666666668,2922,0.3203285420944558,7.3724358974358974,2.1082799034721016,623.2,0.35862117580713376,0.27168091076034917,0.04824665009436103,4.2894168466522675,14.899999999999977,20.725,33.0,1.5922798552472859,eur_ecad_01,19396,95
eur_ecad_01::23479,MED,35_25,37.21666666666667,28.366666666666667,2922,0.1861738535249829,16.222426470588236,3.308630734042011,1784.8,0.5781314754869566,0.3552895092677342,0.12998247136997299,8.343859649122807,28.600000000000023,47.85000000000002,81.171,1.6963636363636356,eur_ecad_01,23479,95
eur_ecad_01::23480,MED,35_25,36.71277777777778,28.79277777777778,2922,0.15742642026009582,17.27,3.8547701735125157,1796.6000000000001,0.5958749035901774,0.44862929230000975,-0.024704903859470433,11.504672897196262,40.39999999999998,53.28999999999983,98.33299999999996,1.8452430099455859,eur_ecad_01,23480,95
eur_ecad_01::19784,NEU,70_25,70.07833333333333,27.98638888888889,2784,0.25754310344827586,4.58563458856346,2.2477800250755515,418.6,0.3669148699711046,0.18463237567524082,0.14913657026364976,4.503267973856209,14.0,13.0,21.728000000000055,1.6713846153846197,eur_ecad_01,19784,95
eur_ecad_01::19785,NEU,65_15,69.30055555555555,16.967777777777776,2906,0.49449415003441155,7.050382741823243,1.6166749893059926,875.8000000000001,0.35900287818918,0.4932297266292367,0.17000156982529147,3.9702702702702704,12.550000000000011,18.14000000000001,31.776000000000092,1.7517089305402465,eur_ecad_01,19785,95
eur_ecad_01::19789,NEU,60_10,63.68083333333333,10.6025,2916,0.46021947873799723,8.554470938897168,1.7672737233478402,875.7,0.3359329004513691,0.38958201270269066,0.2835698678341148,3.5530474040632054,10.0,24.79000000000001,40.47199999999993,1.632593787817665,eur_ecad_01,19789,95
eur_ecad_01::20495,NEU,50_5,52.93555555555555,6.880833333333334,2922,0.3737166324435318,5.811538461538461,2.0212771559935674,682.2,0.3561505969898901,0.32553931070407105,0.06837465385405896,3.9696312364425164,13.0,16.435000000000013,28.008999999999993,1.7042287800425904,eur_ecad_01,20495,95
eur_ecad_01::20497,NEU,50_5,52.26277777777778,5.163055555555556,2922,0.3802190280629706,6.798829882988299,1.981016532901956,714.1000000000001,0.3537579388547479,0.33448843653150706,0.12911777506997862,3.9541484716157207,12.149999999999977,20.65,34.460000000000036,1.6687651331719147,eur_ecad_01,20497,95
eur_ecad_01::20498,WCE,50_0,51.37444444444444,3.3827777777777777,2922,0.34770704996577684,6.601968503937007,2.154936554268137,608.0,0.355539495555395,0.32146499492196556,0.06276060997302566,4.235555555555556,13.0,18.4,34.110000000000014,1.853804347826088,eur_ecad_01,20498,95
eur_ecad_01::21853,NEU,50_-5,50.501666666666665,-4.666666666666667,2890,0.4598615916955017,7.677351392024079,1.7371521574991857,772.8,0.3572245084590764,0.39377223821615875,0.08711703133323122,3.5396825396825395,11.0,22.6,36.0,1.5929203539823007,eur_ecad_01,21853,95
eur_ecad_01::21854,NEU,50_-10,50.08388888888889,-5.256666666666667,2892,0.36376210235131395,6.252661596958175,1.9925576065633068,473.7,0.33342077649527807,0.3183014106647918,0.05921675523591658,3.982683982683983,13.0,17.689999999999987,28.22700000000002,1.5956472583380465,eur_ecad_01,21854,95
eur_ecad_01::21864,NEU,50_-5,54.61388888888889,-3.1566666666666667,2861,0.46871723173715485,9.013571961222967,1.8182240992377814,1005.5999999999999,0.3649253005800953,0.3667223095051064,0.1599973462268162,3.3187772925764194,11.0,25.0,46.27999999999984,1.8511999999999935,eur_ecad_01,21864,95
eur_ecad_01::21866,NEU,50_-5,54.501666666666665,-2.685,2882,0.44240111034004165,11.466980392156863,2.020261139673682,1337.0,0.37375988400971955,0.4089731053016681,0.1593652764014284,3.772300469483568,12.0,36.039999999999964,58.20799999999999,1.615094339622643,eur_ecad_01,21866,95
