model,policy,alpha,n_deploy,unsafe_rate,safe_deploy,n_safe,n_pairs
stgcn_diffusion,global,0.12,0,0.0,0,23,110
stgcn_diffusion,global,0.14,0,0.0,0,23,110
stgcn_diffusion,global,0.16,0,0.0,0,23,110
stgcn_diffusion,global,0.18,0,0.0,0,23,110
stgcn_diffusion,global,0.2,0,0.0,0,23,110
stgcn_diffusion,global,0.22,1,0.0,1,23,110
stgcn_diffusion,global,0.24,1,0.0,1,23,110
stgcn_diffusion,global,0.26,1,0.0,1,23,110
stgcn_diffusion,global,0.28,1,0.0,1,23,110
stgcn_diffusion,global,0.3,1,0.0,1,23,110
stgcn_diffusion,global,0.32,1,0.0,1,23,110
stgcn_diffusion,global,0.34,1,0.0,1,23,110
stgcn_diffusion,global,0.36,1,0.0,1,23,110
stgcn_diffusion,global,0.38,2,0.0,2,23,110
stgcn_diffusion,global,0.4,2,0.0,2,23,110
stgcn_diffusion,global,0.42,2,0.0,2,23,110
stgcn_diffusion,global,0.44,2,0.0,2,23,110
stgcn_diffusion,global,0.46,2,0.0,2,23,110
stgcn_diffusion,global,0.48,2,0.0,2,23,110
stgcn_diffusion,global,0.5,3,0.0,3,23,110
stgcn_diffusion,global,0.52,3,0.0,3,23,110
stgcn_diffusion,global,0.54,6,0.16666666666666666,5,23,110
stgcn_diffusion,global,0.56,8,0.375,5,23,110
stgcn_diffusion,global,0.58,11,0.45454545454545453,6,23,110
stgcn_diffusion,global,0.6,11,0.45454545454545453,6,23,110
stgcn_diffusion,conflict,0.02,0,0.0,0,23,110
stgcn_diffusion,conflict,0.04,0,0.0,0,23,110
stgcn_diffusion,conflict,0.06,0,0.0,0,23,110
stgcn_diffusion,conflict,0.08,0,0.0,0,23,110
stgcn_diffusion,conflict,0.1,0,0.0,0,23,110
stgcn_diffusion,conflict,0.12,0,0.0,0,23,110
stgcn_diffusion,conflict,0.14,0,0.0,0,23,110
stgcn_diffusion,conflict,0.16,0,0.0,0,23,110
stgcn_diffusion,conflict,0.18,0,0.0,0,23,110
stgcn_diffusion,conflict,0.2,0,0.0,0,23,110
stgcn_diffusion,conflict,0.22,0,0.0,0,23,110
stgcn_diffusion,conflict,0.24,1,0.0,1,23,110
stgcn_diffusion,conflict,0.26,1,0.0,1,23,110
stgcn_diffusion,conflict,0.28,1,0.0,1,23,110
stgcn_diffusion,conflict,0.3,1,0.0,1,23,110
stgcn_diffusion,conflict,0.32,1,0.0,1,23,110
stgcn_diffusion,conflict,0.34,1,0.0,1,23,110
stgcn_diffusion,conflict,0.36,1,0.0,1,23,110
stgcn_diffusion,conflict,0.38,1,0.0,1,23,110
stgcn_diffusion,conflict,0.4,3,0.0,3,23,110
stgcn_diffusion,conflict,0.42,3,0.0,3,23,110
stgcn_diffusion,conflict,0.44,3,0.0,3,23,110
stgcn_diffusion,conflict,0.46,3,0.0,3,23,110
stgcn_diffusion,conflict,0.48,3,0.0,3,23,110
stgcn_diffusion,conflict,0.5,4,0.0,4,23,110
stgcn_diffusion,conflict,0.52,6,0.16666666666666666,5,23,110
stgcn_diffusion,conflict,0.54,6,0.16666666666666666,5,23,110
stgcn_diffusion,conflict,0.56,9,0.3333333333333333,6,23,110
stgcn_diffusion,conflict,0.58,11,0.36363636363636365,7,23,110
stgcn_diffusion,conflict,0.6,14,0.42857142857142855,8,23,110
stgcn_diffusion,distance,0.02,0,0.0,0,23,110
stgcn_diffusion,distance,0.04,0,0.0,0,23,110
stgcn_diffusion,distance,0.06,0,0.0,0,23,110
stgcn_diffusion,distance,0.08,0,0.0,0,23,110
stgcn_diffusion,distance,0.1,0,0.0,0,23,110
stgcn_diffusion,distance,0.12,0,0.0,0,23,110
stgcn_diffusion,distance,0.14,0,0.0,0,23,110
stgcn_diffusion,distance,0.16,0,0.0,0,23,110
stgcn_diffusion,distance,0.18,0,0.0,0,23,110
stgcn_diffusion,distance,0.2,0,0.0,0,23,110
stgcn_diffusion,distance,0.22,0,0.0,0,23,110
stgcn_diffusion,distance,0.24,0,0.0,0,23,110
stgcn_diffusion,distance,0.26,0,0.0,0,23,110
stgcn_diffusion,distance,0.28,1,0.0,1,23,110
stgcn_diffusion,distance,0.3,1,0.0,1,23,110
stgcn_diffusion,distance,0.32,1,0.0,1,23,110
stgcn_diffusion,distance,0.34,1,0.0,1,23,110
stgcn_diffusion,distance,0.36,2,0.0,2,23,110
stgcn_diffusion,distance,0.38,2,0.0,2,23,110
stgcn_diffusion,distance,0.4,2,0.0,2,23,110
stgcn_diffusion,distance,0.42,3,0.0,3,23,110
stgcn_diffusion,distance,0.44,7,0.42857142857142855,4,23,110
stgcn_diffusion,distance,0.46,7,0.42857142857142855,4,23,110
stgcn_diffusion,distance,0.48,7,0.42857142857142855,4,23,110
stgcn_diffusion,distance,0.5,9,0.4444444444444444,5,23,110
stgcn_diffusion,distance,0.52,10,0.5,5,23,110
stgcn_diffusion,distance,0.54,11,0.45454545454545453,6,23,110
stgcn_diffusion,distance,0.56,13,0.5384615384615384,6,23,110
stgcn_diffusion,distance,0.58,14,0.5714285714285714,6,23,110
stgcn_diffusion,distance,0.6,17,0.5882352941176471,7,23,110
stgcn_diffusion,reject,0.02,0,0.0,0,23,110
stgcn_diffusion,reject,0.04,0,0.0,0,23,110
stgcn_diffusion,reject,0.06,0,0.0,0,23,110
stgcn_diffusion,reject,0.08,0,0.0,0,23,110
stgcn_diffusion,reject,0.1,0,0.0,0,23,110
stgcn_diffusion,reject,0.12,0,0.0,0,23,110
stgcn_diffusion,reject,0.14,0,0.0,0,23,110
stgcn_diffusion,reject,0.16,0,0.0,0,23,110
stgcn_diffusion,reject,0.18,0,0.0,0,23,110
stgcn_diffusion,reject,0.2,0,0.0,0,23,110
stgcn_diffusion,reject,0.22,0,0.0,0,23,110
stgcn_diffusion,reject,0.24,0,0.0,0,23,110
stgcn_diffusion,reject,0.26,0,0.0,0,23,110
stgcn_diffusion,reject,0.28,0,0.0,0,23,110
stgcn_diffusion,reject,0.3,0,0.0,0,23,110
stgcn_diffusion,reject,0.32,0,0.0,0,23,110
stgcn_diffusion,reject,0.34,0,0.0,0,23,110
stgcn_diffusion,reject,0.36,0,0.0,0,23,110
stgcn_diffusion,reject,0.38,0,0.0,0,23,110
stgcn_diffusion,reject,0.4,0,0.0,0,23,110
stgcn_diffusion,reject,0.42,0,0.0,0,23,110
stgcn_diffusion,reject,0.44,0,0.0,0,23,110
stgcn_diffusion,reject,0.46,0,0.0,0,23,110
stgcn_diffusion,reject,0.48,0,0.0,0,23,110
stgcn_diffusion,reject,0.5,0,0.0,0,23,110
stgcn_diffusion,reject,0.52,0,0.0,0,23,110
stgcn_diffusion,reject,0.54,0,0.0,0,23,110
stgcn_diffusion,reject,0.56,1,1.0,0,23,110
stgcn_diffusion,reject,0.58,3,0.6666666666666666,1,23,110
stgcn_diffusion,reject,0.6,3,0.6666666666666666,1,23,110
graphwavenet_transfer,global,0.02,0,0.0,0,20,110
graphwavenet_transfer,global,0.04,0,0.0,0,20,110
graphwavenet_transfer,global,0.06,0,0.0,0,20,110
graphwavenet_transfer,global,0.08,0,0.0,0,20,110
graphwavenet_transfer,global,0.1,0,0.0,0,20,110
graphwavenet_transfer,global,0.12,0,0.0,0,20,110
graphwavenet_transfer,global,0.14,0,0.0,0,20,110
graphwavenet_transfer,global,0.16,0,0.0,0,20,110
graphwavenet_transfer,global,0.18,0,0.0,0,20,110
graphwavenet_transfer,global,0.2,0,0.0,0,20,110
graphwavenet_transfer,global,0.22,0,0.0,0,20,110
graphwavenet_transfer,global,0.24,0,0.0,0,20,110
graphwavenet_transfer,global,0.26,0,0.0,0,20,110
graphwavenet_transfer,global,0.28,0,0.0,0,20,110
graphwavenet_transfer,global,0.3,0,0.0,0,20,110
graphwavenet_transfer,global,0.32,0,0.0,0,20,110
graphwavenet_transfer,global,0.34,0,0.0,0,20,110
graphwavenet_transfer,global,0.36,1,1.0,0,20,110
graphwavenet_transfer,global,0.38,1,1.0,0,20,110
graphwavenet_transfer,global,0.4,1,1.0,0,20,110
graphwavenet_transfer,global,0.42,1,1.0,0,20,110
graphwavenet_transfer,global,0.44,1,1.0,0,20,110
graphwavenet_transfer,global,0.46,1,1.0,0,20,110
graphwavenet_transfer,global,0.48,1,1.0,0,20,110
graphwavenet_transfer,global,0.5,1,1.0,0,20,110
graphwavenet_transfer,global,0.52,4,0.5,2,20,110
graphwavenet_transfer,global,0.54,6,0.6666666666666666,2,20,110
graphwavenet_transfer,global,0.56,9,0.6666666666666666,3,20,110
graphwavenet_transfer,global,0.58,11,0.6363636363636364,4,20,110
