model,source_region,target_region,n_runs,degradation_mean,degradation_sd,degradation_min,degradation_max,mae_mean,brier_mean,degradation_se,degradation_ci95_halfwidth
graphwavenet_transfer,MED,WCE,3,0.0063320445599767995,0.00110124324958403,0.0052274279661868,0.0074298831771082,2.1364743776209476,0.28877252689047533,0.0006358030865905981,0.008078644190275604
graphwavenet_transfer,MED,WNA,3,0.0434014164899422,0.006539958146037024,0.0381266932446499,0.0507189515672902,1.974687010362813,0.2177126604274897,0.003775846596103362,0.04797667990344954
graphwavenet_transfer,NCA,CNA,3,0.15304518998068464,0.018767600350213427,0.1317604748540793,0.167215082007288,2.1313301081023326,0.16878449087378458,0.010835479114239037,0.1376778160428551
graphwavenet_transfer,NCA,EAS,3,0.048400479859846336,0.054939179103218556,0.0076527395196811,0.1108817085722714,6.2051101112812335,0.23301191808587488,0.0317191498443003,0.4030300119872478
graphwavenet_transfer,NCA,EAU,3,0.022674154253017432,0.0052703529653040935,0.017334123114713,0.0278719496702466,2.8147659770500524,0.21081187999107345,0.003042839703242661,0.03866294424954553
graphwavenet_transfer,NCA,ENA,3,0.204026326771405,0.044565589375045164,0.1525688822241015,0.2301912907682169,3.1293049101307644,0.2562346624930131,0.02572995502227665,0.32693007637223637
graphwavenet_transfer,NCA,MED,3,0.026190655958695033,0.004617236046731191,0.0209162127622602,0.0295017139145844,1.7350013715641754,0.17125913652773406,0.002665762474492297,0.03387172377959696
graphwavenet_transfer,NCA,NCA,3,0.0,0.0,0.0,0.0,1.0182322459133786,0.09415148230602066,0.0,0.0
graphwavenet_transfer,NCA,NEU,3,0.12196813923872217,0.03073465698124872,0.0955725857267402,0.1557103849791404,2.3373381646987452,0.2998472504902423,0.01774466248157476,0.2254673144697741
graphwavenet_transfer,NCA,NWN,3,0.1237069811311014,0.016744812080667453,0.1053814015183925,0.1382100500041871,2.422132241069408,0.22771486472704314,0.009667621762303052,0.12283878142620903
graphwavenet_transfer,NCA,SAU,3,0.037215893696113035,0.00715896394593808,0.0293223838572879,0.0432887110787471,1.9131865313830705,0.22004929023851658,0.0041332297613061765,0.052517663569870636
graphwavenet_transfer,NCA,WCE,3,0.09695340361442384,0.0262920309926213,0.0775610699482549,0.126878854664997,2.2270957366753947,0.29344408370792424,0.015179711171131892,0.19287651798030722
graphwavenet_transfer,NCA,WNA,3,0.054274308233555967,0.007711792023045489,0.0474487212485164,0.0626399047646542,1.9855599021064265,0.2209057998831069,0.0044524052004397225,0.056573172046342095
