source_region,target_region,kl_source_to_target,kl_target_to_source,wasserstein_precip,mmd_rbf_precip,shift_mean_abs,shift_variance_abs,shift_wet_fraction_abs,shift_p95_abs,shift_p99_abs,shift_monthly_l2,region_centroid_distance_deg
NEU,SAU,0.06392765051135793,0.058113578853704405,0.6876120000000006,0.014981447299513118,0.5840846666666668,2.60703094004489,0.11719333333333332,1.700000000000001,1.1000000000000014,2.4855932600568957,157.19668461607165
NEU,MED,0.12639979531952092,0.11222313628033154,0.9145256666666788,0.03037625926694698,0.5346216666666668,18.350350202163888,0.15636999999999998,0.9000000000000004,5.699999999999999,3.9731668288904802,18.63900222761006
NEU,EAU,0.15312516421587524,0.1277256996279793,1.065779333333332,0.02466139714505089,0.036695333333333746,41.26018935559154,0.13619333333333333,2.299999999999999,14.5,3.849268168393619,164.64679029066758
NEU,NWN,0.032785243824319674,0.031854829988407746,0.7121876666666669,0.005667257754802479,0.24249966666666634,31.334670168219894,0.06316666666666665,2.299999999999999,12.299999999999997,1.7355019433796166,144.80471231560347
NEU,NCA,0.4576474431068056,0.2992586729119221,1.4246693333333327,0.06462420296900184,1.2568846666666669,2.957683353911559,0.23881666666666665,6.300000000000001,0.8999999999999986,4.660385343481388,123.03747422185748
NEU,EAS,0.3255549404609843,0.2192852597585832,3.944982666666665,0.01236932789635481,3.562609333333332,362.0859238385529,0.08019666666666664,23.6,71.0,20.742974666106296,110.81141522564081
WNA,WCE,0.18956154509148662,0.28541993381191194,0.4197073333333337,0.001793294656511124,0.012479333333333287,11.863394785284001,0.04875666666666667,1.0999999999999996,5.600000000000001,4.672393146533508,125.24039992735239
WNA,NEU,0.22616059531127705,0.36122350936840736,0.49508266666666617,0.003163205764037391,0.09406733333333328,12.492670100572887,0.06848666666666664,0.7999999999999989,6.0,4.352830920224582,127.06894947565732
WNA,WNA,0.0,0.0,0.0,0.0001976346004632923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNA,ENA,0.1382535252089499,0.13659132506181082,0.965987666666668,0.0014495350558483278,0.8852229999999999,40.732545023455,0.00988,5.800000000000001,12.399999999999999,5.0988910823768325,33.44857135742529
WNA,CNA,0.13221581045420977,0.09541353150002742,0.6887813333333355,0.006503941047470763,0.12242666666666668,20.61842458609778,0.09692666666666669,0.8000000000000007,7.600000000000001,4.955349578696576,17.049387248412483
WNA,SAU,0.19812073609114114,0.3053528705494534,0.5119079999999995,0.001862530551168362,0.4900173333333335,9.885639160527997,0.048706666666666676,2.5,4.899999999999999,4.537337495811759,263.3615337797457
WNA,MED,0.17008214401827643,0.17834851027011037,0.519315666666679,0.006115546360449642,0.4405543333333335,5.857680101591001,0.08788333333333334,1.6999999999999993,0.3000000000000007,2.41521312176924,122.1791754254358
WNA,EAU,0.16375120765722045,0.17082350233585336,0.6012993333333326,0.0040391037585127965,0.13076266666666703,28.767519255018655,0.06770666666666669,1.5,8.5,2.2985796845226703,274.3909442611336
WNA,NWN,0.1286080795672765,0.18762663414370678,0.4181583333333339,0.00033900181431389953,0.3365669999999996,18.842000067647007,0.005319999999999991,1.5,6.299999999999997,4.228118597879599,24.772908795692988
WNA,NCA,0.17000055405213796,0.11143788900265654,1.1762033333333328,0.02205843258719864,1.1628173333333336,9.534986746661328,0.17033,7.1,5.100000000000001,5.762711567736889,11.95513233006116
WNA,EAS,0.17504832027786282,0.19527291475203432,3.720244666666666,0.0033498349054854604,3.6566766666666655,349.59325373798004,0.011709999999999998,22.8,65.0,23.29106588149178,232.31901396258826
ENA,WCE,0.06489715599792567,0.08041790535253213,1.1792243333333348,0.00573022334125084,0.8977023333333332,52.595939808739004,0.05863666666666667,6.9,18.0,3.3618316783574302,92.34946629686614
ENA,NEU,0.09126385025393328,0.12046663553225999,1.2154583333333342,0.008254879206729404,0.7911556666666666,53.22521512402789,0.07836666666666664,6.6,18.4,3.2538559711562844,94.7228781846377
