source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean
MED,WNA,patchtst_small,975,17,2.0063863952892778,0.22899242089138797,-0.010170570544660976,0.004616277991382748
NCA,CNA,linear_window,438,14,2.1741074211287406,0.18097711943857045,0.016775635726641588,-0.003770009367519329
NCA,CNA,patchtst_small,438,14,2.175556999714926,0.18097711943857045,0.020682413125964742,-0.003770009367519329
NCA,EAS,linear_window,110,16,6.244182192447587,0.29796496021882485,0.27199544101454376,0.05800548234167827
NCA,EAS,patchtst_small,110,16,6.2470268721133015,0.29796496021882485,0.22964929971139553,0.05629378884295251
NCA,EAU,linear_window,241,6,3.0307031221226786,0.2439938825896552,0.2233037696423052,0.012252424422905209
NCA,EAU,patchtst_small,241,6,3.0321713835992727,0.2439938825896552,0.21507844205605633,0.012500704995247124
NCA,ENA,linear_window,522,21,3.0905830264636425,0.2789018268891428,-0.08915076712855155,-0.0043393183870007734
NCA,ENA,patchtst_small,522,21,3.091370403400478,0.2789018268891428,-0.08691225653726006,-0.0043393183870007734
NCA,MED,linear_window,328,19,1.7290115782026727,0.1874789797406521,0.005610245100822415,0.012417398281281744
NCA,MED,patchtst_small,328,19,1.7292847389394919,0.1874789797406521,0.006718230015871221,0.012948325601807684
NCA,NCA,linear_window,144,7,1.0092195802938875,0.10648742318126667,0.0,0.0
NCA,NCA,patchtst_small,144,7,1.0101306229355211,0.10648742318126667,0.0,0.0
NCA,NEU,linear_window,1000,28,2.3829966911617997,0.35053211860325406,0.13366278532027,0.049397741504767924
NCA,NEU,patchtst_small,1000,28,2.3799506167347833,0.35053211860325406,0.12969309747652372,0.05011576673721429
NCA,NWN,linear_window,183,36,2.460118560806161,0.2870557891393091,0.07405012468474977,0.06193680124500357
NCA,NWN,patchtst_small,183,36,2.4609738670071892,0.2870557891393091,0.06950090862394569,0.061666581128888086
NCA,SAU,linear_window,351,13,1.9434250041007475,0.252143536167152,0.03216084221424304,0.025012015891669192
NCA,SAU,patchtst_small,351,13,1.9429569353551803,0.252143536167152,0.028233492690121112,0.02522306600815032
NCA,WCE,linear_window,1000,17,2.219935929812108,0.32440196502653346,0.027692835442108384,0.028302775332440237
NCA,WCE,patchtst_small,1000,17,2.217286102307966,0.32440196502653346,0.023801618411657108,0.0290073239419144
NCA,WNA,linear_window,975,17,2.082616678198093,0.25592035942101793,0.06619047161534163,0.03227970728993718
NCA,WNA,patchtst_small,975,17,2.083920913439406,0.25592035942101793,0.06736394760546734,0.03154421652101267
NEU,CNA,linear_window,438,14,2.385355751246726,0.21498115843678353,0.22802396584462695,0.030234029630693743
NEU,CNA,patchtst_small,438,14,2.386374472044624,0.21389282811218502,0.23149988545566172,0.02914569930609526
NEU,EAS,linear_window,110,16,5.866164655521617,0.2439284388426003,-0.10602209591142664,0.003968960965453648
NEU,EAS,patchtst_small,110,16,5.869255654185158,0.24160320427822113,-0.14812191821674794,-6.796709765125611e-05
NEU,EAU,linear_window,241,6,2.953426075514756,0.2325474006407315,0.1460267230343825,0.0008059424739815168
NEU,EAU,patchtst_small,241,6,2.9593845575255586,0.23145893039699217,0.14229161598234186,-3.4247197415906856e-05
NEU,ENA,linear_window,522,21,3.394911728328697,0.3103443115991908,0.21517793473650268,0.027103166323047226
NEU,ENA,patchtst_small,522,21,3.384879306702815,0.3071594731754063,0.20659664676507708,0.02391832789926278
NEU,MED,linear_window,328,19,1.8466851797896675,0.185903343662669,0.12328384668781733,0.01084176220329863
NEU,MED,patchtst_small,328,19,1.8538484172667515,0.18505370527158357,0.13128190834313055,0.010523051132739143
NEU,NCA,linear_window,144,7,0.9883074496775206,0.12165161004081902,-0.020912130616366792,0.015164186859552358
NEU,NCA,patchtst_small,144,7,0.999370304290751,0.12041226280897112,-0.010760318644769949,0.01392483962770445
NEU,NEU,linear_window,1000,28,2.24933390584153,0.30113437709848606,0.0,0.0
NEU,NEU,patchtst_small,1000,28,2.2502575192582595,0.30041635186603977,0.0,0.0
NEU,NWN,linear_window,183,36,2.5725194283948136,0.23340941393103956,0.18645099227340217,0.008290426036733987
NEU,NWN,patchtst_small,183,36,2.5827229708698134,0.23281936915108845,0.19125001248656998,0.007430161140667406
NEU,SAU,linear_window,351,13,1.8816245735835617,0.23748590916571596,-0.029639588302942884,0.010354388890233114
NEU,SAU,patchtst_small,351,13,1.8876759806542183,0.23661363725584905,-0.027047462010840677,0.009693167096847347
NEU,WCE,linear_window,1000,17,2.148829016433959,0.2970090873043247,-0.043414077936040414,0.0009098976102314365
NEU,WCE,patchtst_small,1000,17,2.151864040778251,0.29520411430075355,-0.041620443118057966,-0.00019052678386552097
NEU,WNA,linear_window,975,17,2.0138979543446793,0.22943915131337628,-0.002528252238071884,0.0057984991822955705
NEU,WNA,patchtst_small,975,17,2.023863666453554,0.22969674047584585,0.007306700619615473,0.005320597575840603
NWN,CNA,linear_window,438,14,2.1356357677922175,0.2007192931874553,-0.021696017609881504,0.01597216438136551
NWN,CNA,patchtst_small,438,14,2.1316460777639197,0.1987717952896172,-0.023228508825042002,0.014024666483527445
NWN,EAS,linear_window,110,16,5.614632856824427,0.25173547614716485,-0.35755389460861675,0.01177599827001818
NWN,EAS,patchtst_small,110,16,5.515464630030935,0.2520413227137174,-0.5019129423709707,0.01037015133784497
NWN,EAU,linear_window,241,6,3.0485425870335114,0.22410921668784195,0.24114323455313777,-0.007632241478908067
NWN,EAU,patchtst_small,241,6,3.0510936525131642,0.22455671402270516,0.2340007109699477,-0.006936463571702921
NWN,ENA,linear_window,522,21,3.273853698070542,0.2991623838773029,0.09411990447834825,0.01592123860115933
NWN,ENA,patchtst_small,522,21,3.259351377791617,0.29455866633476774,0.08106871785387944,0.011317521058624226
NWN,MED,linear_window,328,19,1.7566759685064115,0.17511460821950647,0.03327463540456103,5.302676013609536e-05
NWN,MED,patchtst_small,328,19,1.7631204019047664,0.17361531767148747,0.0405538929811453,-0.0009153364673569499
NWN,NCA,linear_window,144,7,1.2544357602608223,0.10488353745876836,0.2452161799669348,-0.0016038857224983086
NWN,NCA,patchtst_small,144,7,1.269424976439475,0.10585638257405827,0.259294353503954,-0.00063104060720839
NWN,NEU,linear_window,1000,28,2.225698794479383,0.30190849067522113,-0.023635111362146403,0.0007741135767350015
NWN,NEU,patchtst_small,1000,28,2.2314596452111797,0.30449568775945635,-0.018797874047079954,0.004079335893416624
NWN,NWN,linear_window,183,36,2.3860684361214113,0.22511898789430557,0.0,0.0
